Feature,TP,FP,TN,FN,p value
TTC12,6,0,30,2,1.0142425003106176e-05
INTS6-AS1,4,3,27,4,0.02451677683875827
AC011503.1,2,3,27,6,0.27930717094803864
KIF13B,8,11,19,0,0.0030910676071966483
CASC20,5,5,25,3,0.01857407237912584
MCM8,3,4,26,5,0.14612128311818728
POU6F2,4,20,10,4,0.43317561044516145
AL365214.2,3,5,25,5,0.3269989799501434
CAPN10,4,5,25,4,0.07132797387965682
CTRC,2,4,26,6,0.5870410235735337
AC099489.1,4,7,23,4,0.19495871583158175
ZNF717,2,3,27,6,0.27930717094803864
STX11,2,5,25,6,0.6236050996112921
NUCB2,3,5,25,5,0.3269989799501434
IL31RA,2,3,27,6,0.27930717094803864
SYNPO,3,4,26,5,0.14612128311818728
DACH2,6,25,5,2,0.6236050996112918
RBM20,4,7,23,4,0.19495871583158175
SLC4A3,4,6,24,4,0.1700531324020792
AC078845.1,6,19,11,2,0.6892823113735927
AP005329.2,3,5,25,5,0.3269989799501434
CACNA1B,4,13,17,4,1.0
AL158066.1,4,9,21,4,0.40681168534958634
LINC02469,0,5,25,8,0.5632164672412358
KIR2DL4,3,3,27,5,0.0940050661412895
MCF2,4,6,24,4,0.1700531324020792
PDPK1,5,2,28,3,0.001997423824049215
UGT1A1,4,11,19,4,0.6869283894900606
CD46P1,1,10,20,7,0.39470580137712985
NUDT4,1,7,23,7,0.6600304125521346
ATP1A2,3,3,27,5,0.0940050661412895
TBC1D16,3,7,23,5,0.4112138249759355
LINC02026,4,4,26,4,0.04413040688382748
RASSF2,4,1,29,4,0.004295316988815445
SNED1,3,8,22,5,0.6670881907574223
AL137058.1,3,2,28,5,0.052826820628678335
PWP2,2,3,27,6,0.27930717094803864
FBN1,6,10,20,2,0.049774932227743665
ZNF37A,0,6,24,8,0.3090878663634098
SQOR,4,5,25,4,0.07132797387965682
CAMTA1,8,22,8,0,0.16381357797516816
DHRSX,6,12,18,2,0.11714353649837526
AC079414.1,0,5,25,8,0.5632164672412358
ANO7,6,1,29,2,6.719356564557807e-05
ACOT9,2,6,24,6,1.0
DNAH10OS,2,3,27,6,0.27930717094803864
AC107884.1,4,4,26,4,0.04413040688382748
LINC01094,4,3,27,4,0.02451677683875827
LDB2,5,15,15,3,0.6968376000634076
AL133372.2,6,18,12,2,0.6836328988531148
MIR3135B,3,2,28,5,0.052826820628678335
AC114810.1,2,4,26,6,0.5870410235735337
AL132780.3,1,5,25,7,1.0
AP002754.1,1,6,24,7,1.0
ZNF709,4,8,22,4,0.2319489168585348
ZW10,1,6,24,7,1.0
AP001025.1,3,4,26,5,0.14612128311818728
LINC01284,3,10,20,5,1.0
AC003975.1,2,7,23,6,1.0
CELF4,6,14,16,2,0.23840849647301274
LINC01446,6,12,18,2,0.11714353649837526
AC118282.1,2,6,24,6,1.0
PRKG2,5,14,16,3,0.6927954347309196
MSC-AS1,8,17,13,0,0.03354692953214874
DRAM1,3,4,26,5,0.14612128311818728
SLC6A15,3,7,23,5,0.4112138249759355
KCNA6,3,11,19,5,1.0
CLCN4,4,4,26,4,0.04413040688382748
SNORD116-3,1,4,26,7,1.0
GALNT13,8,23,7,0,0.3074333832847769
RNU7-71P,4,2,28,4,0.011648575116067416
NEGR1,8,26,4,0,0.5599810336652447
CCDC175,3,7,23,5,0.4112138249759355
PRSS45,3,6,24,5,0.3630773851486934
OR2T29,1,6,24,7,1.0
LRRIQ3,5,15,15,3,0.6968376000634076
MORC4,5,8,22,3,0.0940763493944359
MIPOL1,4,10,20,4,0.43317561044516156
GJA1,3,5,25,5,0.3269989799501434
ALPL,2,5,25,6,0.6236050996112921
HEATR5A,3,6,24,5,0.3630773851486934
LINC02426,2,15,15,6,0.2574832897413548
GLIPR1L1,3,2,28,5,0.052826820628678335
RASSF4,5,4,26,3,0.010133448139040891
CFAP97,5,2,28,3,0.001997423824049215
MAP2,6,18,12,2,0.6836328988531148
TRIM5,8,14,16,0,0.011948431003659252
STT3A,1,4,26,7,1.0
CNTNAP3,4,10,20,4,0.43317561044516156
CD34,3,3,27,5,0.0940050661412895
SYBU,1,7,23,7,0.6600304125521346
DUX4L9,2,3,27,6,0.27930717094803864
CD81-AS1,4,2,28,4,0.011648575116067416
MYH9,5,5,25,3,0.01857407237912584
GNA11,3,8,22,5,0.6670881907574223
CDCA7L,3,2,28,5,0.052826820628678335
CSRNP3,3,9,21,5,0.6892823113735946
ESRP1,2,6,24,6,1.0
AP002370.2,4,10,20,4,0.43317561044516156
SPATA5,4,6,24,4,0.1700531324020792
SUCLA2,4,1,29,4,0.004295316988815445
AC090572.2,1,9,21,7,0.6533315044250843
AC106821.1,4,6,24,4,0.1700531324020792
LINC00923,5,7,23,3,0.0806253672028167
TDRP,8,2,28,0,9.20179687781809e-07
NTSR2,0,6,24,8,0.3090878663634098
FEZF2,2,4,26,6,0.5870410235735337
AL391152.1,1,4,26,7,1.0
CLYBL,6,12,18,2,0.11714353649837526
FOXN2,5,3,27,3,0.004903146793689084
PRIMA1,4,2,28,4,0.011648575116067416
PSG7,4,4,26,4,0.04413040688382748
U91319.1,8,17,13,0,0.03354692953214874
ZNF423,7,14,16,1,0.0534311128538633
CHCHD4,1,4,26,7,1.0
ZNF624,1,4,26,7,1.0
THEM4,4,2,28,4,0.011648575116067416
HHIP,2,10,20,6,1.0
SYTL3,4,8,22,4,0.2319489168585348
AC068672.2,6,11,19,2,0.10657578399513885
ST7L,5,4,26,3,0.010133448139040891
TRAF3,3,2,28,5,0.052826820628678335
TARSL2,3,4,26,5,0.14612128311818728
AL449212.1,3,3,27,5,0.0940050661412895
AC015522.1,6,19,11,2,0.6892823113735927
HYKK,0,5,25,8,0.5632164672412358
UIMC1,3,5,25,5,0.3269989799501434
SLC35G1,3,3,27,5,0.0940050661412895
ADNP-AS1,2,3,27,6,0.27930717094803864
AC099328.2,4,2,28,4,0.011648575116067416
NR3C1,3,4,26,5,0.14612128311818728
AC009226.1,8,13,17,0,0.004658154063926565
RHOBTB1,6,8,22,2,0.03373317390095586
COTL1,2,3,27,6,0.27930717094803864
POP1,1,5,25,7,1.0
AL158847.1,3,2,28,5,0.052826820628678335
AL031728.1,0,6,24,8,0.3090878663634098
AC005165.1,6,5,25,2,0.0035015290932598536
HNRNPA1P70,0,5,25,8,0.5632164672412358
AC008543.1,4,1,29,4,0.004295316988815445
LINC01724,1,5,25,7,1.0
LINC01146,3,6,24,5,0.3630773851486934
TXK,2,3,27,6,0.27930717094803864
LY75,4,7,23,4,0.19495871583158175
TKTL1,2,5,25,6,0.6236050996112921
AC113386.1,6,11,19,2,0.10657578399513885
AL590705.1,4,7,23,4,0.19495871583158175
AP002991.1,7,7,23,1,0.0017457035583471293
SNX30,5,8,22,3,0.0940763493944359
LINC02319,3,5,25,5,0.3269989799501434
SLC12A1,3,3,27,5,0.0940050661412895
OR5AC1,3,3,27,5,0.0940050661412895
AL050403.1,2,3,27,6,0.27930717094803864
AGAP3,3,2,28,5,0.052826820628678335
ZNF962P,6,2,28,2,0.000253990042265285
AC117944.1,2,3,27,6,0.27930717094803864
INVS,6,10,20,2,0.049774932227743665
RN7SL741P,0,7,23,8,0.30743338328477654
AP000350.3,1,5,25,7,1.0
PDZD8,3,4,26,5,0.14612128311818728
AC110760.1,6,4,26,2,0.0016928238989559292
MFN1,6,5,25,2,0.0035015290932598536
MYOM2,6,14,16,2,0.23840849647301274
C3orf20,3,7,23,5,0.4112138249759355
TRIM55,2,9,21,6,1.0
TAC3,3,2,28,5,0.052826820628678335
MAATS1,4,3,27,4,0.02451677683875827
EYS,8,28,2,0,1.0
ZMYND8,7,12,18,1,0.042244590631687534
INPP5A,4,9,21,4,0.40681168534958634
HS1BP3,1,5,25,7,1.0
RRN3P1,3,5,25,5,0.3269989799501434
NDRG1,3,4,26,5,0.14612128311818728
EFNA5,7,7,23,1,0.0017457035583471293
MCCC1,3,5,25,5,0.3269989799501434
AACSP1,7,5,25,1,0.0004311962016945542
AC007319.1,8,19,11,0,0.07653159001406282
MIA3,1,8,22,7,0.6503169957679114
CPE,4,8,22,4,0.2319489168585348
LINC01684,4,13,17,4,1.0
DHX32,2,4,26,6,0.5870410235735337
AL078624.2,5,0,30,3,0.00011156667503416735
GFI1B,3,5,25,5,0.3269989799501434
AC083973.1,3,8,22,5,0.6670881907574223
EXOSC1,3,3,27,5,0.0940050661412895
RPA1,2,8,22,6,1.0
AC087379.2,4,4,26,4,0.04413040688382748
ST8SIA6,5,10,20,3,0.2230247075198644
SLC41A2,3,5,25,5,0.3269989799501434
AC093496.1,2,5,25,6,0.6236050996112921
RNF138,4,1,29,4,0.004295316988815445
BAHD1,3,2,28,5,0.052826820628678335
AC126177.4,5,0,30,3,0.00011156667503416735
AC118282.2,0,6,24,8,0.3090878663634098
AJAP1,8,17,13,0,0.03354692953214874
ATXN7L1,3,4,26,5,0.14612128311818728
CYSTM1,4,6,24,4,0.1700531324020792
ANKRD44,6,11,19,2,0.10657578399513885
TBCD,6,4,26,2,0.0016928238989559292
POTEJ,5,5,25,3,0.01857407237912584
FAM83G,3,2,28,5,0.052826820628678335
USP10,5,5,25,3,0.01857407237912584
CAVIN2,4,4,26,4,0.04413040688382748
OR5J1P,1,6,24,7,1.0
C7orf55-LUC7L2,3,6,24,5,0.3630773851486934
ZNF552,3,3,27,5,0.0940050661412895
HCN3,2,8,22,6,1.0
CSAG1,2,5,25,6,0.6236050996112921
AL049634.2,4,2,28,4,0.011648575116067416
AC022568.1,4,7,23,4,0.19495871583158175
AC004828.1,2,4,26,6,0.5870410235735337
AL731537.1,5,0,30,3,0.00011156667503416735
SSH2,6,9,21,2,0.03907735259477998
HSDL1,3,2,28,5,0.052826820628678335
CAPZB,6,7,23,2,0.011430410736313054
TMEM220-AS1,7,0,30,1,6.339015626941335e-07
ACTR6,0,5,25,8,0.5632164672412358
LINC02463,1,4,26,7,1.0
MYBPC3,2,3,27,6,0.27930717094803864
CCDC57,5,6,24,3,0.031134525117347517
FGF13,8,20,10,0,0.08212996323452751
DOCK10,4,19,11,4,0.6869283894900602
ZNRF3,4,5,25,4,0.07132797387965682
AC002310.4,3,2,28,5,0.052826820628678335
RMI2,3,11,19,5,1.0
PREX1,6,4,26,2,0.0016928238989559292
APCDD1L-AS1,6,9,21,2,0.03907735259477998
PRPF40B,2,3,27,6,0.27930717094803864
AC023347.1,3,6,24,5,0.3630773851486934
PACSIN1,3,3,27,5,0.0940050661412895
LINC01550,3,5,25,5,0.3269989799501434
DPF3,5,5,25,3,0.01857407237912584
ITFG2,2,11,19,6,0.6892823113735929
C8orf46,3,3,27,5,0.0940050661412895
AC131206.1,0,5,25,8,0.5632164672412358
CCDC136,4,5,25,4,0.07132797387965682
FAM149A,4,5,25,4,0.07132797387965682
OR4C50P,2,5,25,6,0.6236050996112921
PIP5K1A,6,0,30,2,1.0142425003106176e-05
ZNF445,4,2,28,4,0.011648575116067416
ITPR3,5,2,28,3,0.001997423824049215
SEMA3B,3,3,27,5,0.0940050661412895
FBXL5,4,3,27,4,0.02451677683875827
AL139142.1,4,5,25,4,0.07132797387965682
F11R,1,5,25,7,1.0
GML,3,5,25,5,0.3269989799501434
RPS10P14,2,4,26,6,0.5870410235735337
OTUD4,3,2,28,5,0.052826820628678335
SEC23IP,2,6,24,6,1.0
IL12RB1,1,4,26,7,1.0
ST5,4,9,21,4,0.40681168534958634
TMPRSS11BNL,3,6,24,5,0.3630773851486934
GTF2H1,3,4,26,5,0.14612128311818728
FGF12-AS1,2,3,27,6,0.27930717094803864
LCORL,6,11,19,2,0.10657578399513885
OLFM1,2,3,27,6,0.27930717094803864
AL109807.1,0,6,24,8,0.3090878663634098
ZNF518A,3,6,24,5,0.3630773851486934
ABCC8,4,1,29,4,0.004295316988815445
Z80107.2,2,3,27,6,0.27930717094803864
ARL13A,3,2,28,5,0.052826820628678335
ANKRD19P,4,7,23,4,0.19495871583158175
C8B,2,3,27,6,0.27930717094803864
MARCH11,6,9,21,2,0.03907735259477998
POLR2J,3,2,28,5,0.052826820628678335
AC118273.1,3,6,24,5,0.3630773851486934
SLCO2A1,4,10,20,4,0.43317561044516156
DOPEY1,4,5,25,4,0.07132797387965682
CCDC190,4,6,24,4,0.1700531324020792
ANXA4,6,9,21,2,0.03907735259477998
ATP6V1B2,3,6,24,5,0.3630773851486934
CHMP1A,1,7,23,7,0.6600304125521346
HIKESHI,3,3,27,5,0.0940050661412895
EXOC6B,6,18,12,2,0.6836328988531148
KANK3,0,5,25,8,0.5632164672412358
RHOD,4,2,28,4,0.011648575116067416
SHANK2,6,18,12,2,0.6836328988531148
LINC02503,4,2,28,4,0.011648575116067416
NHSL2,4,11,19,4,0.6869283894900606
KLHL42,0,6,24,8,0.3090878663634098
OTC,2,4,26,6,0.5870410235735337
MTOR,4,9,21,4,0.40681168534958634
AC010267.1,1,5,25,7,1.0
AP1B1,3,4,26,5,0.14612128311818728
GCNT2,4,10,20,4,0.43317561044516156
MAP3K19,4,4,26,4,0.04413040688382748
AC016730.1,3,3,27,5,0.0940050661412895
RF00285,1,5,25,7,1.0
AC008878.2,2,4,26,6,0.5870410235735337
AC119868.2,6,10,20,2,0.049774932227743665
SLC9B1P2,3,8,22,5,0.6670881907574223
AC051649.1,4,3,27,4,0.02451677683875827
AK7,3,6,24,5,0.3630773851486934
PAK4,4,3,27,4,0.02451677683875827
HSPB8,3,8,22,5,0.6670881907574223
TERF1P2,5,5,25,3,0.01857407237912584
AC004980.2,3,2,28,5,0.052826820628678335
MAP3K20-AS1,4,9,21,4,0.40681168534958634
PINK1,1,4,26,7,1.0
LINC02552,5,12,18,3,0.4257747483553941
ELAVL4,6,13,17,2,0.23198858682729717
PAAF1,2,5,25,6,0.6236050996112921
AC008982.1,4,1,29,4,0.004295316988815445
AC009690.2,0,5,25,8,0.5632164672412358
DPP10-AS1,1,4,26,7,1.0
ANKRD18A,5,14,16,3,0.6927954347309196
SLC44A3-AS1,4,6,24,4,0.1700531324020792
U2AF1L4,0,5,25,8,0.5632164672412358
HHLA3,1,5,25,7,1.0
AC007744.1,5,8,22,3,0.0940763493944359
AC068490.1,0,8,22,8,0.163813577975168
ARFIP1,4,5,25,4,0.07132797387965682
UBOX5,3,2,28,5,0.052826820628678335
BRWD1-AS2,2,3,27,6,0.27930717094803864
GK-AS1,3,4,26,5,0.14612128311818728
JUP,4,1,29,4,0.004295316988815445
LINC02131,3,5,25,5,0.3269989799501434
HBE1,5,9,21,3,0.11659122420133158
PKD2,2,7,23,6,1.0
RNF24,4,7,23,4,0.19495871583158175
INSR,4,12,18,4,0.6984460741576514
PSMD1,6,4,26,2,0.0016928238989559292
AC092142.1,6,6,24,2,0.006571861984825153
CLEC3B,1,4,26,7,1.0
CDH22,2,7,23,6,1.0
POM121L9P,3,2,28,5,0.052826820628678335
CRISPLD1,5,3,27,3,0.004903146793689084
AC073311.1,2,6,24,6,1.0
AC109587.1,1,6,24,7,1.0
LRRC1,3,9,21,5,0.6892823113735946
IMPG2,5,8,22,3,0.0940763493944359
AP003354.2,1,4,26,7,1.0
FCRL5,6,7,23,2,0.011430410736313054
AP000311.1,8,15,15,0,0.013184211875912673
KCNIP1,6,9,21,2,0.03907735259477998
AC016705.2,3,5,25,5,0.3269989799501434
AL359764.1,2,4,26,6,0.5870410235735337
AC010976.1,4,2,28,4,0.011648575116067416
AL591424.1,3,8,22,5,0.6670881907574223
TMCC3,4,4,26,4,0.04413040688382748
AC008758.5,2,5,25,6,0.6236050996112921
CHRNB2,1,4,26,7,1.0
MOGAT1,4,3,27,4,0.02451677683875827
NR2C1,1,5,25,7,1.0
CCDC148,6,11,19,2,0.10657578399513885
AC090398.1,1,4,26,7,1.0
AP006219.1,4,4,26,4,0.04413040688382748
LCA5,4,5,25,4,0.07132797387965682
PCDHGA8,4,7,23,4,0.19495871583158175
AL391358.1,2,4,26,6,0.5870410235735337
ZNF609,4,7,23,4,0.19495871583158175
TRDMT1,3,5,25,5,0.3269989799501434
ESYT2,4,4,26,4,0.04413040688382748
RPS19BP1,1,4,26,7,1.0
LINC02008,4,20,10,4,0.43317561044516145
SUPV3L1,1,4,26,7,1.0
HMGN4,3,2,28,5,0.052826820628678335
HMGN5,4,11,19,4,0.6869283894900606
ROCK2,4,5,25,4,0.07132797387965682
RPL22P22,1,5,25,7,1.0
CRISP2,2,4,26,6,0.5870410235735337
SND1,8,14,16,0,0.011948431003659252
PAM16,3,3,27,5,0.0940050661412895
NUP214,6,4,26,2,0.0016928238989559292
IGFL1,1,5,25,7,1.0
LHX8,2,7,23,6,1.0
ACTR3C,7,9,21,1,0.005409634142281718
TPRX1,2,5,25,6,0.6236050996112921
MRPS22,6,11,19,2,0.10657578399513885
LIMCH1,5,10,20,3,0.2230247075198644
AC079062.1,5,17,13,3,1.0
LINC01184,2,4,26,6,0.5870410235735337
VGLL3,0,7,23,8,0.30743338328477654
CADPS2,6,20,10,2,1.0
TRIM14,4,1,29,4,0.004295316988815445
DPEP1,0,5,25,8,0.5632164672412358
EEF2,4,1,29,4,0.004295316988815445
DEFA3,0,6,24,8,0.3090878663634098
MRPL24,3,2,28,5,0.052826820628678335
AC018946.1,1,4,26,7,1.0
CDC14B,5,4,26,3,0.010133448139040891
CACNA2D3,8,22,8,0,0.16381357797516816
RF00568,4,10,20,4,0.43317561044516156
LINC00476,3,5,25,5,0.3269989799501434
CBWD2,4,3,27,4,0.02451677683875827
LINC02233,6,7,23,2,0.011430410736313054
BCLAF1,4,4,26,4,0.04413040688382748
SDCBP2-AS1,4,5,25,4,0.07132797387965682
AC106895.2,3,3,27,5,0.0940050661412895
SGCD,7,22,8,1,0.6503169957679109
TMTC1,8,12,18,0,0.0034706724010628957
TMEM181,2,7,23,6,1.0
AC005943.1,4,2,28,4,0.011648575116067416
HLCS,3,6,24,5,0.3630773851486934
NFATC4,0,7,23,8,0.30743338328477654
CFHR1,2,4,26,6,0.5870410235735337
C10orf55,2,7,23,6,1.0
AC099567.1,4,14,16,4,1.0
SP140L,1,4,26,7,1.0
AC009107.2,3,5,25,5,0.3269989799501434
MAST1,2,5,25,6,0.6236050996112921
PRKCI,2,7,23,6,1.0
KRT8P42,3,2,28,5,0.052826820628678335
PRDM4,4,2,28,4,0.011648575116067416
MTRNR2L6,2,6,24,6,1.0
AC017074.1,0,6,24,8,0.3090878663634098
ABCA17P,3,3,27,5,0.0940050661412895
ZNF808,5,3,27,3,0.004903146793689084
PIWIL2,4,5,25,4,0.07132797387965682
SLIT1,8,10,20,0,0.0008947827283990269
SRGAP2-AS1,5,2,28,3,0.001997423824049215
IFNLR1,0,5,25,8,0.5632164672412358
POTEF,3,8,22,5,0.6670881907574223
TEX264,1,6,24,7,1.0
DMRT1,3,10,20,5,1.0
AC010185.1,2,6,24,6,1.0
AC245056.1,1,4,26,7,1.0
ARL8B,2,3,27,6,0.27930717094803864
CHRM3-AS2,1,7,23,7,0.6600304125521346
PRDM5,4,11,19,4,0.6869283894900606
AL109930.1,6,14,16,2,0.23840849647301274
LINC02511,6,21,9,2,1.0
LINC02100,6,4,26,2,0.0016928238989559292
EFCAB13,6,3,27,2,0.0007189057174076666
MIR100HG,5,3,27,3,0.004903146793689084
KPNA1,2,5,25,6,0.6236050996112921
NOTCH2,6,12,18,2,0.11714353649837526
LEKR1,5,12,18,3,0.4257747483553941
AC107081.2,2,4,26,6,0.5870410235735337
VAT1L,6,10,20,2,0.049774932227743665
FMNL3,1,5,25,7,1.0
MKL1,4,7,23,4,0.19495871583158175
NPTX2,1,5,25,7,1.0
PDIA6,4,2,28,4,0.011648575116067416
AK9,5,8,22,3,0.0940763493944359
UQCC1,2,8,22,6,1.0
ACSS3,5,18,12,3,1.0
RASGEF1C,4,2,28,4,0.011648575116067416
CD4,3,4,26,5,0.14612128311818728
SH2D4A,3,3,27,5,0.0940050661412895
PPM1E,3,11,19,5,1.0
SMILR,1,4,26,7,1.0
NRG3-AS1,5,0,30,3,0.00011156667503416735
TPGS2,4,2,28,4,0.011648575116067416
NR1H2,4,9,21,4,0.40681168534958634
TH,2,3,27,6,0.27930717094803864
TBC1D2B,5,1,29,3,0.0006186879251894765
ZNF177,4,4,26,4,0.04413040688382748
HYALP1,2,3,27,6,0.27930717094803864
PKD2L1,3,3,27,5,0.0940050661412895
CCDC150,2,9,21,6,1.0
EML1,4,6,24,4,0.1700531324020792
AL137145.2,2,4,26,6,0.5870410235735337
MEIS1,4,8,22,4,0.2319489168585348
MIR891B,1,5,25,7,1.0
AC136188.1,3,8,22,5,0.6670881907574223
SEC63,2,4,26,6,0.5870410235735337
ABHD17B,4,2,28,4,0.011648575116067416
MOB4,3,2,28,5,0.052826820628678335
AL512271.1,4,4,26,4,0.04413040688382748
AC090502.2,0,5,25,8,0.5632164672412358
AC053527.1,4,3,27,4,0.02451677683875827
CYYR1,6,2,28,2,0.000253990042265285
SH3PXD2B,4,5,25,4,0.07132797387965682
AC089984.2,1,4,26,7,1.0
NRXN3,8,26,4,0,0.5599810336652447
USP17L7,1,4,26,7,1.0
GPR37L1,2,4,26,6,0.5870410235735337
AVPR2,0,6,24,8,0.3090878663634098
LINC01136,4,2,28,4,0.011648575116067416
MSR1,6,21,9,2,1.0
AKAP7,3,8,22,5,0.6670881907574223
F7,3,2,28,5,0.052826820628678335
MYO16,8,26,4,0,0.5599810336652447
AC112493.1,5,13,17,3,0.43813901878418016
RNA5SP517,1,4,26,7,1.0
KCNK1,4,5,25,4,0.07132797387965682
FMO4,2,5,25,6,0.6236050996112921
PLCH2,4,4,26,4,0.04413040688382748
AP003555.1,3,2,28,5,0.052826820628678335
AC009137.1,4,1,29,4,0.004295316988815445
ENTPD6,3,5,25,5,0.3269989799501434
LAMC3,6,0,30,2,1.0142425003106176e-05
VCAN-AS1,5,5,25,3,0.01857407237912584
NT5C3AP1,1,4,26,7,1.0
DRP2,4,1,29,4,0.004295316988815445
ARHGAP44,6,9,21,2,0.03907735259477998
AC093840.1,1,4,26,7,1.0
ATCAY,2,4,26,6,0.5870410235735337
AL135908.1,2,6,24,6,1.0
AC091096.2,3,6,24,5,0.3630773851486934
SEPT1,1,4,26,7,1.0
STAT3,4,4,26,4,0.04413040688382748
CATSPERB,3,9,21,5,0.6892823113735946
USP37,4,2,28,4,0.011648575116067416
DDX6,4,3,27,4,0.02451677683875827
CDYL2,3,10,20,5,1.0
SYN2,2,10,20,6,1.0
PEAR1,2,4,26,6,0.5870410235735337
AC011604.2,6,10,20,2,0.049774932227743665
ELAVL2,7,11,19,1,0.01648569390504874
SLC23A3,4,5,25,4,0.07132797387965682
AC096558.2,6,12,18,2,0.11714353649837526
MYOM1,4,9,21,4,0.40681168534958634
FSCB,3,3,27,5,0.0940050661412895
UQCC3,4,3,27,4,0.02451677683875827
AHCY,3,2,28,5,0.052826820628678335
DOCK5,4,10,20,4,0.43317561044516156
GUSB,3,2,28,5,0.052826820628678335
AC005064.1,3,6,24,5,0.3630773851486934
AC010105.1,2,15,15,6,0.2574832897413548
SLC17A6,4,2,28,4,0.011648575116067416
EPCAM,1,5,25,7,1.0
DOCK9,6,5,25,2,0.0035015290932598536
LINC00210,2,3,27,6,0.27930717094803864
KHDRBS2,8,28,2,0,1.0
BMP3,3,3,27,5,0.0940050661412895
AC084879.1,3,4,26,5,0.14612128311818728
TMEM159,3,2,28,5,0.052826820628678335
TACC2,4,12,18,4,0.6984460741576514
MXD4,4,2,28,4,0.011648575116067416
TEX41,6,20,10,2,1.0
PON2,4,5,25,4,0.07132797387965682
LINC02267,6,17,13,2,0.439766591719054
EPN2-AS1,2,3,27,6,0.27930717094803864
AC098613.1,3,2,28,5,0.052826820628678335
CPN1,0,6,24,8,0.3090878663634098
MIR153-1,4,2,28,4,0.011648575116067416
UAP1,2,6,24,6,1.0
SUB1,4,1,29,4,0.004295316988815445
AC064875.1,3,5,25,5,0.3269989799501434
CALR3,5,2,28,3,0.001997423824049215
SEMA4D,4,5,25,4,0.07132797387965682
TREML4,3,6,24,5,0.3630773851486934
AP000533.1,2,3,27,6,0.27930717094803864
PDK3,3,2,28,5,0.052826820628678335
HAT1,7,2,28,1,2.1532204694094286e-05
TENM4,8,17,13,0,0.03354692953214874
PLEC,4,6,24,4,0.1700531324020792
NLN,3,5,25,5,0.3269989799501434
AC131953.1,2,4,26,6,0.5870410235735337
AC013727.1,2,6,24,6,1.0
AC106874.1,1,5,25,7,1.0
GPT2,5,0,30,3,0.00011156667503416735
