	class
TCGA-EY-A1GP-01A-11R-A13S-07	CIMPnegative
TCGA-EY-A1GX-01A-12R-A13S-07	CIMPpositive
TCGA-EY-A210-01A-11R-A157-07	CIMPnegative
TCGA-EY-A2ON-01A-21R-A18M-07	CIMPnegative
TCGA-EY-A2OO-01A-11R-A19W-07	CIMPpositive
TCGA-EY-A2OP-01A-11R-A19W-07	CIMPpositive
TCGA-EY-A2OQ-01A-11R-A19W-07	CIMPnegative
TCGA-EY-A3L3-01A-11R-A22K-07	CIMPnegative
TCGA-EY-A4KR-01A-11R-A27V-07	CIMPnegative
TCGA-EY-A54A-01A-11R-A27V-07	CIMPnegative
TCGA-EY-A5W2-01A-11R-A31O-07	CIMPpositive
TCGA-FI-A2EY-01A-12R-A18M-07	CIMPnegative
TCGA-FI-A3PV-01A-11R-A22K-07	CIMPnegative
TCGA-FI-A3PX-01A-11R-A22K-07	CIMPnegative
TCGA-H5-A2HR-01A-11R-A180-07	CIMPnegative
TCGA-K6-A3WQ-01A-11R-A22K-07	CIMPnegative
TCGA-KJ-A3U4-01A-11R-A22K-07	CIMPnegative
TCGA-KP-A3VZ-01A-11R-A22K-07	CIMPnegative
TCGA-KP-A3W0-01A-21R-A22K-07	CIMPnegative
TCGA-KP-A3W1-01A-11R-A22K-07	CIMPnegative
TCGA-KP-A3W3-01A-11R-A22K-07	CIMPnegative
TCGA-KP-A3W4-01A-11R-A22K-07	CIMPnegative
TCGA-PG-A5BC-01A-12R-A27V-07	CIMPnegative
TCGA-PG-A6IB-01A-21R-A31O-07	CIMPpositive
TCGA-QF-A5YS-01A-11R-A31O-07	CIMPnegative
TCGA-QF-A5YT-01A-11R-A31O-07	CIMPpositive
TCGA-SL-A6J9-01A-11R-A31O-07	CIMPnegative
