Feature,TP,FP,TN,FN,p value
ACY1,1,2,269,107,1.0
ADAD1,0,2,269,108,1.0
ADAD2,0,2,269,108,1.0
ADAM12,1,2,269,107,1.0
ADAM17,1,2,269,107,1.0
ADAM21P1,1,2,269,107,1.0
ADAM21,0,3,268,108,0.5610594482397786
ADAM23,0,2,269,108,1.0
ADAM28,3,6,265,105,0.7183043252302252
ADAM29,1,1,270,107,0.4892574444026434
ADAM30,2,4,267,106,1.0
ADAM32,0,3,268,108,0.5610594482397786
ADAM7,1,3,268,107,1.0
ADAM9,0,3,268,108,0.5610594482397786
ADAMTS12,0,5,266,108,0.3272795028353981
ADAMTS13,2,2,269,106,0.3215416839339265
ADAMTS14,0,3,268,108,0.5610594482397786
ADAMTS17,3,0,271,105,0.02267989493900613
ADAMTS18,2,4,267,106,1.0
ADAMTS1,4,2,269,104,0.05768394776160528
ADAMTS2,2,1,270,106,0.19663040989578395
ADAMTS5,5,5,266,103,0.15599213315520732
ADAMTSL3,2,6,265,106,1.0
ADAMTSL4,4,2,269,104,0.05768394776160528
ADARB1,0,3,268,108,0.5610594482397786
ADAR,6,2,269,102,0.007949338221575309
ADCY10P1,0,3,268,108,0.5610594482397786
ADCY10,3,3,268,105,0.35852494949639074
ADCY3,2,1,270,106,0.19663040989578395
ADCY6,2,1,270,106,0.19663040989578395
ADCY8,1,1,270,107,0.4892574444026434
ADCY9,1,3,268,107,1.0
ADC,0,2,269,108,1.0
ADD2,1,2,269,107,1.0
ADD3,5,3,268,103,0.04525670117381173
ADGB,3,9,262,105,1.0
ADH5,0,2,269,108,1.0
ADH6,0,3,268,108,0.5610594482397786
ADNP2,3,0,271,105,0.02267989493900613
ADORA1,2,1,270,106,0.19663040989578395
ADORA2A,0,3,268,108,0.5610594482397786
ADPRH,1,3,268,107,1.0
ADRA1D,2,1,270,106,0.19663040989578395
ADRA2B,0,2,269,108,1.0
ADRB1,2,2,269,106,0.3215416839339265
ADRBK1,4,3,268,104,0.10534307900551326
ADRBK2,1,2,269,107,1.0
AEBP2,1,2,269,107,1.0
AFAP1,2,1,270,106,0.19663040989578395
AFF1,12,1,270,96,1.7880747293657717e-06
AFF2,0,2,269,108,1.0
AFF3,0,3,268,108,0.5610594482397786
AFG3L2,3,0,271,105,0.02267989493900613
AGAP1,0,2,269,108,1.0
AGAP5,4,5,266,104,0.2816321515064024
AGAP6,6,2,269,102,0.007949338221575309
AGBL1,0,4,267,108,0.5812942963706285
AGBL2,3,1,270,105,0.07171913585768795
AGK,1,4,267,107,1.0
AGMO,0,4,267,108,0.5812942963706285
AGO1,1,4,267,107,1.0
AGO2,4,3,268,104,0.10534307900551326
AGO3,2,4,267,106,1.0
AGO4,7,3,268,101,0.007053548403764879
AGPAT3,3,3,268,105,0.35852494949639074
AGPAT4,2,1,270,106,0.19663040989578395
AGPAT9,0,2,269,108,1.0
AGTPBP1,0,2,269,108,1.0
AGXT2,1,10,261,107,0.19034381159311486
AHCTF1,1,4,267,107,1.0
AHDC1,7,6,265,101,0.056978350475120926
AHI1,2,4,267,106,1.0
AHNAK2,2,6,265,106,1.0
AHNAK,1,2,269,107,1.0
AHRR,1,4,267,107,1.0
AHR,0,3,268,108,0.5610594482397786
AIFM1,1,1,270,107,0.4892574444026434
AIM1L,1,2,269,107,1.0
AIM1,1,2,269,107,1.0
AK2,7,2,269,101,0.0027705533373707097
AK5,3,6,265,105,0.7183043252302252
AK8,0,2,269,108,1.0
AKAP11,0,2,269,108,1.0
AKAP17A,2,1,270,106,0.19663040989578395
AKAP3,3,1,270,105,0.07171913585768795
AKAP5,2,1,270,106,0.19663040989578395
AKAP6,7,4,267,101,0.0148302603129465
AKAP7,6,4,267,102,0.03518694736929783
AKAP9,1,4,267,107,1.0
AKR1B10,3,1,270,105,0.07171913585768795
AKR1C1,0,2,269,108,1.0
AKT1,0,6,265,108,0.18922155945846286
AKT3,3,8,263,105,1.0
AKTIP,0,2,269,108,1.0
AL583828.1,0,2,269,108,1.0
ALAS1,0,3,268,108,0.5610594482397786
ALB,0,10,261,108,0.0684781425866902
ALCAM,3,4,267,105,0.4116721863176548
ALDH1L1,1,2,269,107,1.0
ALDH2,2,1,270,106,0.19663040989578395
ALDH4A1,1,1,270,107,0.4892574444026434
ALDH6A1,0,3,268,108,0.5610594482397786
ALG11,0,3,268,108,0.5610594482397786
ALG13,2,7,264,106,1.0
ALG14,1,2,269,107,1.0
ALG1L,0,3,268,108,0.5610594482397786
ALG5,0,3,268,108,0.5610594482397786
ALKBH5,3,2,269,105,0.14233564278051095
ALKBH8,5,2,269,103,0.02193959932865965
ALMS1,1,2,269,107,1.0
ALOX5,0,2,269,108,1.0
ALPK2,1,2,269,107,1.0
ALPK3,4,3,268,104,0.10534307900551326
ALPL,2,3,268,106,0.6259562380909157
ALS2CR11,5,6,265,103,0.30600141611145787
ALS2CR12,2,3,268,106,0.6259562380909157
ALX1,2,1,270,106,0.19663040989578395
ALX4,3,3,268,105,0.35852494949639074
ALYREF,4,0,271,104,0.006333481299458567
AMBRA1,2,1,270,106,0.19663040989578395
AMFR,4,2,269,104,0.05768394776160528
AMMECR1L,5,2,269,103,0.02193959932865965
AMMECR1,7,4,267,101,0.0148302603129465
AMOTL1,4,4,267,104,0.2317499857824026
AMOTL2,3,3,268,105,0.35852494949639074
AMOT,5,3,268,103,0.04525670117381173
AMPD1,1,2,269,107,1.0
AMY2A,2,1,270,106,0.19663040989578395
AMZ2,3,3,268,105,0.35852494949639074
ANAPC10,0,3,268,108,0.5610594482397786
ANAPC1,0,2,269,108,1.0
ANAPC5,2,1,270,106,0.19663040989578395
ANGPT2,1,3,268,107,1.0
ANGPTL1,3,0,271,105,0.02267989493900613
ANK1,1,2,269,107,1.0
ANK2,3,15,256,105,0.2993584098944507
ANK3,8,8,263,100,0.08440483801201831
ANKDD1B,0,2,269,108,1.0
ANKHD1,5,3,268,103,0.04525670117381173
ANKH,9,2,269,99,0.00030696064674121695
ANKRD11,0,5,266,108,0.3272795028353981
ANKRD12,0,3,268,108,0.5610594482397786
ANKRD13C,8,1,270,100,0.00024579257066958255
ANKRD17,1,2,269,107,1.0
ANKRD19P,2,4,267,106,1.0
ANKRD20A4,3,2,269,105,0.14233564278051095
ANKRD20A8P,4,4,267,104,0.2317499857824026
ANKRD24,1,1,270,107,0.4892574444026434
ANKRD26P1,0,3,268,108,0.5610594482397786
ANKRD26,3,2,269,105,0.14233564278051095
ANKRD27,0,3,268,108,0.5610594482397786
ANKRD28,1,2,269,107,1.0
ANKRD30A,2,6,265,106,1.0
ANKRD30B,1,4,267,107,1.0
ANKRD31,3,2,269,105,0.14233564278051095
ANKRD32,1,3,268,107,1.0
ANKRD33,0,3,268,108,0.5610594482397786
ANKRD36BP2,4,2,269,104,0.05768394776160528
ANKRD36B,0,2,269,108,1.0
ANKRD36C,2,1,270,106,0.19663040989578395
ANKRD42,2,2,269,106,0.3215416839339265
ANKRD44,3,2,269,105,0.14233564278051095
ANKRD49,2,2,269,106,0.3215416839339265
ANKRD50,1,5,266,107,0.678962439645028
ANKS1A,0,3,268,108,0.5610594482397786
ANKUB1,2,1,270,106,0.19663040989578395
ANLN,1,4,267,107,1.0
ANO10,4,2,269,104,0.05768394776160528
ANO2,1,4,267,107,1.0
ANO3,0,2,269,108,1.0
ANO4,1,4,267,107,1.0
ANO5,1,2,269,107,1.0
ANO6,2,4,267,106,1.0
ANP32AP1,1,2,269,107,1.0
ANXA10,0,4,267,108,0.5812942963706285
ANXA11,1,2,269,107,1.0
ANXA13,2,2,269,106,0.3215416839339265
ANXA5,0,3,268,108,0.5610594482397786
ANXA6,0,4,267,108,0.5812942963706285
ANXA8L2,0,3,268,108,0.5610594482397786
AOC1,1,5,266,107,0.678962439645028
AOC3,0,2,269,108,1.0
AOC4P,2,1,270,106,0.19663040989578395
AOX1,4,2,269,104,0.05768394776160528
AP1G1,6,7,264,102,0.20744398915188117
AP1G2,3,1,270,105,0.07171913585768795
AP1S1,5,2,269,103,0.02193959932865965
AP1S2,4,2,269,104,0.05768394776160528
AP2A2,2,1,270,106,0.19663040989578395
AP3B1,2,3,268,106,0.6259562380909157
AP3B2,1,1,270,107,0.4892574444026434
AP4E1,0,3,268,108,0.5610594482397786
APAF1,1,2,269,107,1.0
APBA2,2,2,269,106,0.3215416839339265
APC,5,11,260,103,0.7817763850918291
APEH,1,2,269,107,1.0
APH1A,1,2,269,107,1.0
API5,15,1,270,93,3.8578924921823415e-08
APLF,1,2,269,107,1.0
APLP1,0,2,269,108,1.0
APOBEC3D,2,1,270,106,0.19663040989578395
APOBR,1,2,269,107,1.0
APOB,2,6,265,106,1.0
APOH,1,2,269,107,1.0
APPL1,2,4,267,106,1.0
APP,0,2,269,108,1.0
AQP11,1,5,266,107,0.678962439645028
AQP4,0,5,266,108,0.3272795028353981
AQP7,0,3,268,108,0.5610594482397786
AQP9,0,3,268,108,0.5610594482397786
ARAF,3,3,268,105,0.35852494949639074
ARAP2,0,4,267,108,0.5812942963706285
ARCN1,4,4,267,104,0.2317499857824026
AREL1,0,2,269,108,1.0
ARF5,6,0,271,102,0.00048373797989167646
ARFGAP1,4,4,267,104,0.2317499857824026
ARFGAP2,2,1,270,106,0.19663040989578395
ARFGEF1,1,1,270,107,0.4892574444026434
ARFGEF2,2,3,268,106,0.6259562380909157
ARFIP1,4,2,269,104,0.05768394776160528
ARHGAP11A,0,5,266,108,0.3272795028353981
ARHGAP17,0,3,268,108,0.5610594482397786
ARHGAP20,2,1,270,106,0.19663040989578395
ARHGAP21,0,3,268,108,0.5610594482397786
ARHGAP22,4,3,268,104,0.10534307900551326
ARHGAP24,2,2,269,106,0.3215416839339265
ARHGAP26,5,3,268,103,0.04525670117381173
ARHGAP27,1,2,269,107,1.0
ARHGAP28,3,1,270,105,0.07171913585768795
ARHGAP31,1,3,268,107,1.0
ARHGAP33,2,1,270,106,0.19663040989578395
ARHGAP35,3,12,259,105,0.56999914593479
ARHGAP36,5,6,265,103,0.30600141611145787
ARHGAP6,2,4,267,106,1.0
ARHGEF10L,2,1,270,106,0.19663040989578395
ARHGEF11,1,2,269,107,1.0
ARHGEF18,3,0,271,105,0.02267989493900613
ARHGEF25,2,5,266,106,1.0
ARHGEF28,0,2,269,108,1.0
ARHGEF33,1,2,269,107,1.0
ARHGEF35,3,0,271,105,0.02267989493900613
ARHGEF40,2,1,270,106,0.19663040989578395
ARHGEF5,1,2,269,107,1.0
ARHGEF6,2,2,269,106,0.3215416839339265
ARID1A,38,38,233,70,8.117224808242677e-06
ARID1B,10,6,265,98,0.003960283044807726
ARID3B,0,3,268,108,0.5610594482397786
ARID4A,3,4,267,105,0.4116721863176548
ARID4B,9,11,260,99,0.1241490676911384
ARID5B,9,4,267,99,0.002303556901180834
ARIH1,2,1,270,106,0.19663040989578395
ARL15,3,1,270,105,0.07171913585768795
ARL2BP,5,3,268,103,0.04525670117381173
ARL3,0,2,269,108,1.0
ARL4C,7,6,265,101,0.056978350475120926
ARL5A,1,1,270,107,0.4892574444026434
ARMC12,0,2,269,108,1.0
ARMC2,0,2,269,108,1.0
ARMC3,1,2,269,107,1.0
ARMC5,0,3,268,108,0.5610594482397786
ARMC8,2,4,267,106,1.0
ARMCX1,0,2,269,108,1.0
ARMCX2,0,4,267,108,0.5812942963706285
ARMCX3,0,4,267,108,0.5812942963706285
ARNTL2,0,4,267,108,0.5812942963706285
ARNTL,1,2,269,107,1.0
ARPC1A,2,2,269,106,0.3215416839339265
ARPP19,6,1,270,102,0.0025924724445127592
ARPP21,3,6,265,105,0.7183043252302252
ARRDC3,1,2,269,107,1.0
ARSE,0,2,269,108,1.0
ARSH,0,2,269,108,1.0
ARV1,1,1,270,107,0.4892574444026434
ARVCF,2,1,270,106,0.19663040989578395
AR,5,3,268,103,0.04525670117381173
ASAP1,1,1,270,107,0.4892574444026434
ASB14,0,3,268,108,0.5610594482397786
ASB5,1,4,267,107,1.0
ASB7,11,9,262,97,0.010587744771754743
ASB8,2,1,270,106,0.19663040989578395
ASB9,0,2,269,108,1.0
ASCC3,5,7,264,103,0.3343272898114607
ASH1L,15,13,258,93,0.004020453066198379
ASMTL,1,2,269,107,1.0
ASPHD2,2,1,270,106,0.19663040989578395
ASPH,0,5,266,108,0.3272795028353981
ASPM,3,10,261,105,0.7655249774273107
ASTE1,1,3,268,107,1.0
ASTN1,2,3,268,106,0.6259562380909157
ASTN2,1,2,269,107,1.0
ASUN,2,2,269,106,0.3215416839339265
ASXL1,2,3,268,106,0.6259562380909157
ASXL2,6,2,269,102,0.007949338221575309
ASZ1,1,1,270,107,0.4892574444026434
ATAD2B,4,1,270,104,0.024641464575757496
ATAD2,3,3,268,105,0.35852494949639074
ATAT1,1,2,269,107,1.0
ATF4P4,3,4,267,105,0.4116721863176548
ATF4,2,1,270,106,0.19663040989578395
ATF5,3,4,267,105,0.4116721863176548
ATF6,1,2,269,107,1.0
ATF7IP,6,6,265,102,0.10862330135845251
ATG16L1,1,2,269,107,1.0
ATG2B,1,3,268,107,1.0
ATG3,1,2,269,107,1.0
ATG4B,1,2,269,107,1.0
ATG4C,0,2,269,108,1.0
ATG5,0,2,269,108,1.0
ATG7,4,1,270,104,0.024641464575757496
ATG9B,1,2,269,107,1.0
ATHL1,1,2,269,107,1.0
ATP10B,2,3,268,106,0.6259562380909157
ATP10D,3,4,267,105,0.4116721863176548
ATP11A,7,4,267,101,0.0148302603129465
ATP11B,4,6,265,104,0.4797512312811443
ATP11C,4,8,263,104,0.7478319903762891
ATP12A,1,3,268,107,1.0
ATP13A4,1,2,269,107,1.0
ATP1A1,0,2,269,108,1.0
ATP1A2,1,2,269,107,1.0
ATP1A4,1,2,269,107,1.0
ATP1B4,0,3,268,108,0.5610594482397786
ATP2A1,4,4,267,104,0.2317499857824026
ATP2B1,6,8,263,102,0.2358052234074713
ATP2B2,7,5,266,101,0.043880185785684096
ATP2B3,2,3,268,106,0.6259562380909157
ATP2C1,0,3,268,108,0.5610594482397786
ATP4A,2,1,270,106,0.19663040989578395
ATP5EP2,2,1,270,106,0.19663040989578395
ATP6AP1,0,3,268,108,0.5610594482397786
ATP6AP2,4,4,267,104,0.2317499857824026
ATP6V0A4,1,2,269,107,1.0
ATP6V0D2,1,2,269,107,1.0
ATP6V1B1,1,4,267,107,1.0
ATP6V1B2,1,3,268,107,1.0
ATP7A,1,5,266,107,0.678962439645028
ATP8A2,3,2,269,105,0.14233564278051095
ATP8B1,3,0,271,105,0.02267989493900613
ATP8B5P,0,3,268,108,0.5610594482397786
ATP9B,4,2,269,104,0.05768394776160528
ATPAF1,7,5,266,101,0.043880185785684096
ATRIP,2,2,269,106,0.3215416839339265
ATRNL1,2,2,269,106,0.3215416839339265
ATRN,3,0,271,105,0.02267989493900613
ATRX,10,7,264,98,0.010183640299227916
ATXN10,1,5,266,107,0.678962439645028
ATXN1L,1,1,270,107,0.4892574444026434
ATXN1,10,9,262,98,0.032937399768544186
ATXN2L,2,1,270,106,0.19663040989578395
ATXN3L,0,5,266,108,0.3272795028353981
ATXN7L3B,0,4,267,108,0.5812942963706285
ATXN7L3,1,1,270,107,0.4892574444026434
ATXN7,3,1,270,105,0.07171913585768795
AUTS2,0,3,268,108,0.5610594482397786
AVEN,4,1,270,104,0.024641464575757496
AVIL,1,2,269,107,1.0
AVPR2,0,3,268,108,0.5610594482397786
AWAT2,1,2,269,107,1.0
AXDND1,0,2,269,108,1.0
B2M,1,3,268,107,1.0
B3GALTL,3,3,268,105,0.35852494949639074
B3GAT1,2,0,271,106,0.08066339992462164
B3GAT2,0,2,269,108,1.0
B3GNT2,0,3,268,108,0.5610594482397786
B3GNT5,5,2,269,103,0.02193959932865965
B3GNT7,0,3,268,108,0.5610594482397786
B4GALNT4,5,0,271,103,0.0017564854803826875
B4GALT4,0,3,268,108,0.5610594482397786
B4GALT6,2,1,270,106,0.19663040989578395
BAAT,2,6,265,106,1.0
BACE1,2,3,268,106,0.6259562380909157
BACE2,2,4,267,106,1.0
BACH1,1,4,267,107,1.0
BACH2,2,4,267,106,1.0
BAG5,3,1,270,105,0.07171913585768795
BAGE2,3,6,265,105,0.7183043252302252
BAI3,0,3,268,108,0.5610594482397786
BAIAP2L1,1,1,270,107,0.4892574444026434
BAK1,3,2,269,105,0.14233564278051095
BANK1,1,2,269,107,1.0
BANP,1,2,269,107,1.0
BAZ1A,0,2,269,108,1.0
BAZ1B,4,2,269,104,0.05768394776160528
BAZ2B,7,5,266,101,0.043880185785684096
BBS10,1,1,270,107,0.4892574444026434
BBS9,0,2,269,108,1.0
BCAM,0,2,269,108,1.0
BCAP29,1,2,269,107,1.0
BCAS3,9,1,270,99,7.349470753658267e-05
BCAT1,3,1,270,105,0.07171913585768795
BCCIP,2,3,268,106,0.6259562380909157
BCL10,2,1,270,106,0.19663040989578395
BCL11A,13,5,266,95,0.00010209449040449277
BCL11B,24,13,258,84,1.2956381820111092e-06
BCL2L11,1,2,269,107,1.0
BCL3,3,0,271,105,0.02267989493900613
BCL6,0,4,267,108,0.5812942963706285
BCL7A,11,4,267,97,0.0003105294454006406
BCLAF1,4,8,263,104,0.7478319903762891
BCORL1,10,4,267,98,0.0008590473273923975
BCOR,12,8,263,96,0.003486253483700282
BCS1L,0,2,269,108,1.0
BDKRB2,1,2,269,107,1.0
BDNF,4,0,271,104,0.006333481299458567
BDP1,1,2,269,107,1.0
BEND3,5,2,269,103,0.02193959932865965
BEX1,2,1,270,106,0.19663040989578395
BEX4,4,2,269,104,0.05768394776160528
BFSP1,0,2,269,108,1.0
BGN,1,3,268,107,1.0
BHLHB9,1,4,267,107,1.0
BHLHE40,5,1,270,103,0.008120222982843388
BHMT2,1,3,268,107,1.0
BHMT,3,0,271,105,0.02267989493900613
BICC1,2,2,269,106,0.3215416839339265
BIN1,4,4,267,104,0.2317499857824026
BIN3,2,1,270,106,0.19663040989578395
BIRC6,7,7,264,101,0.07770949006959992
BIRC8,3,1,270,105,0.07171913585768795
BIVM-ERCC5,2,1,270,106,0.19663040989578395
BIVM,2,1,270,106,0.19663040989578395
BLNK,4,2,269,104,0.05768394776160528
BLOC1S4,5,4,267,103,0.12595822597585074
BLZF1,3,0,271,105,0.02267989493900613
BMP2,3,0,271,105,0.02267989493900613
BMP5,2,3,268,106,0.6259562380909157
BMP7,1,4,267,107,1.0
BMPER,0,2,269,108,1.0
BMPR1A,2,4,267,106,1.0
BMX,0,5,266,108,0.3272795028353981
BNC2,1,1,270,107,0.4892574444026434
BNIP1,3,1,270,105,0.07171913585768795
BNIP3L,1,3,268,107,1.0
BNIP3P1,1,1,270,107,0.4892574444026434
BNIPL,1,2,269,107,1.0
BOC,0,2,269,108,1.0
BOD1L1,2,7,264,106,1.0
BOK,1,2,269,107,1.0
BPIFA3,1,2,269,107,1.0
BPIFB1,0,2,269,108,1.0
BPNT1,2,1,270,106,0.19663040989578395
BRD1,3,2,269,105,0.14233564278051095
BRD3,3,1,270,105,0.07171913585768795
BRD7,1,2,269,107,1.0
BRD9,3,0,271,105,0.02267989493900613
BRDT,2,1,270,106,0.19663040989578395
BRF1,1,2,269,107,1.0
BRINP1,1,3,268,107,1.0
BRINP3,2,2,269,106,0.3215416839339265
BRIX1,0,2,269,108,1.0
BRMS1,2,1,270,106,0.19663040989578395
BRPF3,1,2,269,107,1.0
BRS3,0,2,269,108,1.0
BRSK1,4,2,269,104,0.05768394776160528
BRWD1,1,4,267,107,1.0
BRWD3,2,5,266,106,1.0
BSPH1,0,2,269,108,1.0
BTAF1,1,1,270,107,0.4892574444026434
BTBD10,2,1,270,106,0.19663040989578395
BTBD11,6,0,271,102,0.00048373797989167646
BTBD16,1,2,269,107,1.0
BTBD2,2,1,270,106,0.19663040989578395
BTBD7,13,9,262,95,0.0024404291500236277
BTG1,0,3,268,108,0.5610594482397786
BTG2,3,0,271,105,0.02267989493900613
BTG3,1,2,269,107,1.0
BTN2A3P,1,3,268,107,1.0
BTN3A2,1,2,269,107,1.0
BTNL8,3,3,268,105,0.35852494949639074
BUB3,0,2,269,108,1.0
BUD31,0,3,268,108,0.5610594482397786
BVES,0,2,269,108,1.0
BZW1,2,1,270,106,0.19663040989578395
C10ORF68,2,6,265,106,1.0
C10orf120,2,2,269,106,0.3215416839339265
C10orf129,1,2,269,107,1.0
C10orf53,1,3,268,107,1.0
C10orf82,1,2,269,107,1.0
C10orf90,1,1,270,107,0.4892574444026434
C11orf30,2,1,270,106,0.19663040989578395
C11orf35,3,1,270,105,0.07171913585768795
C11orf57,8,6,265,100,0.029318133306217676
C11orf58,4,2,269,104,0.05768394776160528
C11orf63,0,5,266,108,0.3272795028353981
C11orf70,1,2,269,107,1.0
C11orf74,0,2,269,108,1.0
C11orf84,6,4,267,102,0.03518694736929783
C12orf29,8,3,268,100,0.0026097130270969194
C12orf39,0,2,269,108,1.0
C12orf42,0,2,269,108,1.0
C12orf49,1,2,269,107,1.0
C12orf4,1,5,266,107,0.678962439645028
C12orf50,2,3,268,106,0.6259562380909157
C12orf55,2,1,270,106,0.19663040989578395
C13orf35,0,2,269,108,1.0
C14orf105,2,2,269,106,0.3215416839339265
C14orf119,1,2,269,107,1.0
C14orf166B,1,2,269,107,1.0
C14orf166,2,1,270,106,0.19663040989578395
C15orf38-AP3S2,0,2,269,108,1.0
C15orf39,3,1,270,105,0.07171913585768795
C15orf40,2,2,269,106,0.3215416839339265
C15orf54,2,2,269,106,0.3215416839339265
C15orf59,0,2,269,108,1.0
C16orf62,0,3,268,108,0.5610594482397786
C16orf87,2,4,267,106,1.0
C16orf96,1,1,270,107,0.4892574444026434
C17orf66,2,1,270,106,0.19663040989578395
C17orf98,0,3,268,108,0.5610594482397786
C18orf25,8,2,269,100,0.0009349840232013532
C18orf8,1,3,268,107,1.0
C19orf57,1,2,269,107,1.0
C19orf69,3,1,270,105,0.07171913585768795
C19orf70,2,3,268,106,0.6259562380909157
C1GALT1C1,2,1,270,106,0.19663040989578395
C1QTNF1,2,1,270,106,0.19663040989578395
C1R,4,0,271,104,0.006333481299458567
C1orf101,0,2,269,108,1.0
C1orf131,0,2,269,108,1.0
C1orf141,2,4,267,106,1.0
C1orf162,1,1,270,107,0.4892574444026434
C1orf168,3,1,270,105,0.07171913585768795
C1orf173,0,3,268,108,0.5610594482397786
C1orf174,0,2,269,108,1.0
C1orf177,0,3,268,108,0.5610594482397786
C1orf198,2,1,270,106,0.19663040989578395
C1orf213,1,2,269,107,1.0
C1orf86,2,0,271,106,0.08066339992462164
C20orf173,1,2,269,107,1.0
C20orf26,1,1,270,107,0.4892574444026434
C20orf85,2,1,270,106,0.19663040989578395
C20orf96,0,2,269,108,1.0
C21orf58,0,3,268,108,0.5610594482397786
C21orf67,1,2,269,107,1.0
C21orf91,1,7,264,107,0.4487989896028073
C22orf31,0,3,268,108,0.5610594482397786
C2CD5,2,3,268,106,0.6259562380909157
C2orf42,3,0,271,105,0.02267989493900613
C2orf71,0,3,268,108,0.5610594482397786
C2orf88,5,4,267,103,0.12595822597585074
C3P1,2,4,267,106,1.0
C3orf18,2,2,269,106,0.3215416839339265
C3orf49,2,1,270,106,0.19663040989578395
C3orf58,5,4,267,103,0.12595822597585074
C3orf70,8,3,268,100,0.0026097130270969194
C4A,1,3,268,107,1.0
C4BPA,1,2,269,107,1.0
C4orf21,3,0,271,105,0.02267989493900613
C4orf22,2,1,270,106,0.19663040989578395
C4orf32,1,2,269,107,1.0
C4orf40,1,2,269,107,1.0
C4orf45,1,2,269,107,1.0
C5orf22,1,2,269,107,1.0
C5orf24,5,2,269,103,0.02193959932865965
C5orf30,4,4,267,104,0.2317499857824026
