egID	Symbol	mutation_rate	expr_logFC	expr_adjpv	expr_SCNA_cor_r	expr_SCNA_cor_p	expr_met_cor_r	expr_met_cor_p
55636	CHD7	8.1	1.248	3.85e-17	0.372	0	-0.538	0
2186	BPTF	8.1	-0.414	0.000516	0.471	0	-0.02	0.661
3054	HCFC1	7.7	0.127	0.267	0.113	0.009	-0.089	0.054
10847	SRCAP	7.7	0.33	0.000335	0.611	0	-0.349	0
84181	CHD6	7.7	-0.501	3.6e-05	0.267	0	-0.262	0
57680	CHD8	7.7	0.008	0.927	0.444	0	-0.194	0
158358	KIAA2026	7.7	-0.789	1.23e-11	0.459	0	-0.204	0
9044	BTAF1	7.3	-0.543	8.11e-05	0.388	0	-0.202	0
4297	KMT2A	7.3	-1.006	6.99e-26	0.358	0	-0.136	0.003
6942	TCF20	7.3	0.288	0.00108	0.475	0	-0.008	0.865
221400	TDRD6	7.3	-1.536	2.26e-08	0.098	0.023	-0.012	0.794
55023	PHIP	7.3	-0.424	0.000375	0.218	0	-0.192	0
80205	CHD9	6.9	-1.397	1.25e-21	0.431	0	-0.305	0
11083	DIDO1	6.9	-0.553	6.36e-13	0.554	0	-0.306	0
2975	GTF3C1	6.9	0.171	0.0394	0.521	0	-0.255	0
221037	JMJD1C	6.9	-1.094	1.15e-14	0.372	0	-0.126	0.007
51780	KDM3B	6.9	-0.349	0.000685	0.327	0	-0.179	0
55904	KMT2E	6.9	-0.608	1.59e-06	0.29	0	-0.159	0.001
2956	MSH6	6.9	-0.499	0.000155	0.335	0	-0.093	0.046
23054	NCOA6	6.9	0.264	0.00364	0.368	0	-0.231	0
56979	PRDM9	6.9	NA	NA	NA	NA	NA	NA
6594	SMARCA1	6.9	-0.88	5.67e-06	0.171	0	-0.363	0
6595	SMARCA2	6.9	-1.666	8.4e-20	0.253	0	-0.155	0.001
7750	ZMYM2	6.9	0.279	0.0205	0.335	0	-0.29	0
9203	ZMYM3	6.9	0.088	0.396	0.1	0.021	-0.293	0
55729	ATF7IP	6.5	0.261	0.036	0.155	0	-0.133	0.004
11176	BAZ2A	6.5	-0.099	0.3	0.289	0	-0.058	0.209
10013	HDAC6	6.5	0.283	0.00693	0.224	0	-0.264	0
8243	SMC1A	6.5	0.12	0.29	0.151	0	-0.153	0.001
2332	FMR1	6.5	-0.293	0.0201	0.166	0	-0.302	0
55777	MBD5	6.5	-0.443	0.000141	0.308	0	-0.065	0.159
5926	ARID4A	6	-1.04	3.33e-17	0.304	0	-0.229	0
1106	CHD2	6	-0.559	5.21e-12	0.225	0	-0.091	0.051
2074	ERCC6	6	-0.119	0.255	0.409	0	-0.222	0
7994	KAT6A	6	-0.418	0.000332	0.633	0	-0.322	0
10765	KDM5B	6	0.68	5.03e-08	0.525	0	-0.216	0
473	RERE	6	-0.756	2.84e-11	0.343	0	-0.576	0
56163	RNF17	6	NA	NA	NA	NA	NA	NA
6597	SMARCA4	6	1.44	9.36e-32	0.453	0	-0.145	0.002
23347	SMCHD1	6	-0.774	1.7e-09	0.429	0	-0.128	0.006
10009	ZBTB33	6	0.215	0.0605	0.076	0.077	-0.27	0
23522	KAT6B	6	-0.693	1.64e-07	0.533	0	-0.287	0
5927	KDM5A	6	-0.146	0.105	0.471	0	NA	NA
8242	KDM5C	6	0.305	2.6e-05	0.285	0	-0.201	0
9611	NCOR1	6	-0.5	2.74e-05	0.439	0	-0.264	0
23394	ADNP	5.6	-0.096	0.418	0.305	0	-0.179	0
196528	ARID2	5.6	0.065	0.523	0.292	0	-0.165	0
55252	ASXL2	5.6	-0.57	0.00871	0.114	0.008	0.066	0.155
29028	ATAD2	5.6	1.34	1.68e-11	0.486	0	-0.233	0
676	BRDT	5.6	NA	NA	NA	NA	NA	NA
27443	CECR2	5.6	-2.417	7.05e-08	0.063	0.145	0.371	0
114785	MBD6	5.6	0.441	2.95e-05	0.295	0	-0.171	0
23469	PHF3	5.6	-0.908	2.38e-16	0.281	0	0.073	0.115
257218	SHPRH	5.6	-1.274	2.03e-07	0.131	0.002	-0.096	0.039
51592	TRIM33	5.6	-0.331	0.00574	0.277	0	-0.212	0
6672	SP100	5.6	-0.514	0.000529	0.115	0.008	-0.522	0
122402	TDRD9	5.6	-0.336	0.431	0.149	0.001	-0.263	0
7158	TP53BP1	5.6	0.16	0.104	0.4	0	-0.231	0
51742	ARID4B	5.2	-0.302	0.0138	0.553	0	-0.229	0
54454	ATAD2B	5.2	0.093	0.466	0.257	0	-0.113	0.015
11177	BAZ1A	5.2	0.787	3.16e-10	0.289	0	-0.136	0.003
2070	EYA4	5.2	-3.097	1.46e-07	-0.048	0.263	-0.527	0
51105	PHF20L1	5.2	-0.106	0.384	0.505	0	-0.288	0
26040	SETBP1	5.2	-2.267	4.75e-25	0.143	0.001	-0.23	0
57713	SFMBT2	5.2	-2.614	3.05e-21	-0.008	0.859	-0.226	0
54790	TET2	5.2	-0.45	0.000719	0.39	0	-0.258	0
54904	NSD3	5.2	-0.099	0.381	0.646	0	-0.316	0
171023	ASXL1	5.2	-0.192	0.0512	0.644	0	-0.348	0
9031	BAZ1B	5.2	-0.109	0.219	0.477	0	-0.014	0.77
22907	DHX30	5.2	0.305	0.00129	0.398	0	-0.078	0.094
1789	DNMT3B	5.2	2.614	8.04e-37	0.269	0	-0.404	0
3621	ING1	5.2	0.027	0.796	0.493	0	-0.26	0
80012	PHC3	5.2	-0.731	4.94e-12	0.501	0	-0.182	0
23133	PHF8	5.2	0.517	0.000419	0.075	0.084	-0.166	0
63976	PRDM16	5.2	-2.916	2.47e-13	-0.047	0.273	-0.226	0
5897	RAG2	5.2	NA	NA	NA	NA	NA	NA
9869	SETDB1	5.2	0.565	2.34e-09	0.732	0	-0.494	0
8467	SMARCA5	5.2	0.008	0.953	0.266	0	-0.185	0
253461	ZBTB38	5.2	-1.972	2.91e-41	0.179	0	-0.367	0
9204	ZMYM6	5.2	-0.546	1.41e-07	0.186	0	-0.087	0.061
10902	BRD8	4.8	-0.117	0.211	0.226	0	-0.207	0
7862	BRPF1	4.8	-0.132	0.126	0.423	0	-0.148	0.001
79813	EHMT1	4.8	0.136	0.165	0.495	0	-0.293	0
8087	FXR1	4.8	-0.105	0.302	0.631	0	-0.186	0
9759	HDAC4	4.8	-1.034	1.03e-12	0.435	0	-0.319	0
3720	JARID2	4.8	0.624	4.31e-10	0.379	0	-0.219	0
8648	NCOA1	4.8	-0.81	7.98e-17	0.289	0	-0.155	0.001
10499	NCOA2	4.8	-0.533	0.0726	0.202	0	-0.093	0.046
135112	NCOA7	4.8	-0.254	0.295	0.242	0	-0.175	0
57661	PHRF1	4.8	0.165	0.054	0.429	0	-0.138	0.003
23126	POGZ	4.8	-0.213	0.0539	0.676	0	-0.337	0
10743	RAI1	4.8	-0.202	0.115	0.39	0	-0.26	0
56164	STK31	4.8	2.181	1.12e-10	0.234	0	-0.103	0.027
56165	TDRD1	4.8	-0.924	0.0165	0.014	0.753	-0.231	0
84629	TNRC18	4.8	-0.052	0.657	0.352	0	-0.224	0
7468	NSD2	4.8	1.271	6.49e-27	0.485	0	-0.174	0
23613	ZMYND8	4.8	0.813	8.08e-11	0.224	0	-0.294	0
2146	EZH2	4.8	2.932	9.21e-67	0.19	0	-0.247	0
9767	JADE3	4.8	-0.161	0.247	0.25	0	-0.185	0
221656	KDM1B	4.8	0.27	0.0471	0.314	0	-0.125	0.007
2122	MECOM	4.8	1.446	8.03e-13	0.213	0	-0.416	0
9678	PHF14	4.8	0.107	0.321	0.435	0	-0.204	0
7799	PRDM2	4.8	-0.652	5.14e-12	0.41	0	-0.195	0
11168	PSIP1	4.8	-0.988	2.78e-10	0.402	0	-0.111	0.017
23512	SUZ12	4.8	-0.059	0.713	0.349	0	-0.132	0.004
79718	TBL1XR1	4.8	0.114	0.392	0.595	0	-0.412	0
81550	TDRD3	4.8	-0.392	0.000593	0.373	0	-0.219	0
9202	ZMYM4	4.8	-0.106	0.264	0.35	0	-0.182	0
23774	BRD1	4.4	-0.429	9.51e-06	0.547	0	-0.316	0
29915	HCFC2	4.4	-1.634	1.01e-39	0.225	0	-0.138	0.003
55193	PBRM1	4.4	-0.539	4.05e-06	0.331	0	-0.151	0.001
55209	SETD5	4.4	0.049	0.598	0.407	0	-0.203	0
83852	SETDB2	4.4	-0.997	1.86e-19	0.278	0	-0.172	0
51111	KMT5B	4.4	-0.395	5.67e-05	0.464	0	-0.243	0
83860	TAF3	4.4	-0.469	1.3e-05	0.242	0	-0.087	0.06
9070	ASH2L	4.4	-0.34	0.000582	0.677	0	-0.233	0
22992	KDM2A	4.4	0.158	0.058	0.489	0	-0.33	0
7403	KDM6A	4.4	-0.546	0.000101	0.288	0	-0.108	0.02
63978	PRDM14	4.4	NA	NA	NA	NA	NA	NA
10389	SCML2	4.4	-1.274	7.91e-06	-0.03	0.494	-0.368	0
57492	ARID1B	4	-0.388	0.000186	0.283	0	-0.131	0.005
2565	GABRG1	4	NA	NA	NA	NA	NA	NA
9734	HDAC9	4	-0.443	0.0784	0.177	0	-0.279	0
11107	PRDM5	4	-2.709	9e-15	-0.01	0.821	-0.604	0
9739	SETD1A	4	0.047	0.626	0.55	0	-0.094	0.042
27044	SND1	4	0.215	0.0407	0.353	0	-0.127	0.006
11262	SP140	4	0.508	0.0535	-0.06	0.167	-0.442	0
1105	CHD1	4	-0.51	9.21e-05	0.329	0	-0.165	0
2138	EYA1	4	1.344	0.00867	0.007	0.865	-0.371	0
8850	KAT2B	4	-1.477	1.22e-15	0.256	0	-0.109	0.019
54737	MPHOSPH8	4	-0.909	5.99e-16	0.389	0	-0.15	0.001
57659	ZBTB4	4	-1.549	9.2e-49	0.591	0	-0.417	0
8314	BAP1	3.6	0.168	0.0387	0.571	0	-0.076	0.101
8019	BRD3	3.6	-0.32	0.00237	0.43	0	-0.23	0
3070	HELLS	3.6	2.062	7.57e-30	0.165	0	-0.176	0
10320	IKZF1	3.6	-0.199	0.438	-0.063	0.143	-0.145	0.002
54617	INO80	3.6	-0.416	3.83e-08	0.432	0	-0.117	0.011
84678	KDM2B	3.6	0.348	4.11e-05	0.417	0	-0.189	0
23081	KDM4C	3.6	-0.269	0.00901	0.426	0	-0.27	0
4152	MBD1	3.6	-0.11	0.116	0.606	0	-0.291	0
8028	MLLT10	3.6	-0.768	3.06e-10	0.277	0	-0.097	0.037
22823	MTF2	3.6	0.148	0.185	0.286	0	-0.11	0.018
51230	PHF20	3.6	-0.307	0.000309	0.472	0	-0.221	0
51773	RSF1	3.6	-0.481	5.09e-05	0.466	0	-0.148	0.001
200424	TET3	3.6	1.287	2.51e-24	0.291	0	-0.096	0.039
22893	BAHD1	3.6	-0.513	3.68e-07	0.358	0	-0.195	0
1786	DNMT1	3.6	1.3	6.54e-21	0.386	0	0.018	0.697
8110	DPF3	3.6	-0.903	0.00176	-0.015	0.732	-0.045	0.338
8726	EED	3.6	0.261	0.00259	0.552	0	-0.221	0
8841	HDAC3	3.6	0.018	0.853	0.176	0	0.058	0.209
10014	HDAC5	3.6	-1.209	1.13e-22	0.243	0	-0.248	0
23338	JADE2	3.6	-1.389	1.44e-14	0.125	0.004	-0.07	0.13
11143	KAT7	3.6	-0.552	9.28e-09	0.499	0	-0.228	0
8202	NCOA3	3.6	-0.137	0.303	0.442	0	-0.194	0
5253	PHF2	3.6	-0.884	5.62e-15	0.388	0	-0.28	0
639	PRDM1	3.6	-0.896	4.75e-05	0.011	0.796	-0.058	0.215
56980	PRDM10	3.6	-0.094	0.311	0.231	0	-0.175	0
10419	PRMT5	3.6	0.129	0.301	0.348	0	-0.216	0
90826	PRMT9	3.6	-0.276	0.00603	0.388	0	-0.205	0
51460	SFMBT1	3.6	0.887	9.84e-07	0.176	0	-0.615	0
79830	ZMYM1	3.6	-0.52	3.59e-05	0.241	0	-0.112	0.016
23476	BRD4	3.2	0.372	0.00241	0.404	0	-0.197	0
27154	BRPF3	3.2	-0.332	0.00776	0.332	0	-0.111	0.017
1616	DAXX	3.2	0.136	0.0931	0.488	0	-0.244	0
2139	EYA2	3.2	1.696	0.000207	-0.073	0.091	-0.732	0
9329	GTF3C4	3.2	-0.118	0.456	0.123	0.004	0.112	0.015
10524	KAT5	3.2	-0.543	1.01e-08	0.342	0	-0.217	0
26013	L3MBTL1	3.2	-0.429	0.0167	0.371	0	-0.17	0
83746	L3MBTL2	3.2	0.174	0.0287	0.607	0	-0.24	0
23349	PHF24	3.2	-2.283	1.05e-09	0.112	0.009	-0.085	0.067
84295	PHF6	3.2	0.239	0.115	0.047	0.275	-0.241	0
55671	PPP4R3A	3.2	-0.21	0.0337	0.362	0	-0.249	0
5931	RBBP7	3.2	0.519	0.000568	0.261	0	-0.222	0
163589	TDRD5	3.2	1.963	4.03e-05	0.294	0	-0.18	0
115426	UHRF2	3.2	-0.577	8.57e-09	0.464	0	-0.162	0
1788	DNMT3A	3.2	1.238	8.84e-23	0.448	0	-0.376	0
5977	DPF2	3.2	-0.366	3.92e-06	0.433	0	0.022	0.632
2648	KAT2A	3.2	0.312	0.0148	0.355	0	-0.047	0.313
9682	KDM4A	3.2	0.418	1.08e-05	0.395	0	-0.184	0
91133	L3MBTL4	3.2	-0.968	0.00391	0.144	0.001	-0.515	0
4998	ORC1	3.2	3.496	9.58e-61	0.152	0	-0.135	0.004
1912	PHC2	3.2	-0.142	0.0803	0.321	0	-0.178	0
26108	PYGO1	3.2	-1.974	1.48e-08	-0.035	0.421	-0.387	0
6599	SMARCC1	3.2	0.721	3.08e-12	0.317	0	-0.196	0
6601	SMARCC2	3.2	-0.209	0.00576	0.534	0	-0.256	0
23424	TDRD7	3.2	-0.461	0.000125	0.258	0	-0.114	0.014
10155	TRIM28	3.2	0.457	3.01e-05	0.377	0	-0.084	0.071
126668	TDRD10	3.2	-2.904	4.16e-21	0.231	0	-0.217	0
57597	BAHCC1	2.8	-1.665	2.28e-08	NA	NA	-0.609	0
29117	BRD7	2.8	0.003	0.979	0.398	0	0.052	0.262
30827	CXXC1	2.8	0.464	1.15e-05	0.417	0	-0.245	0
55929	DMAP1	2.8	0.224	0.0473	0.355	0	-0.124	0.007
57459	GATAD2B	2.8	-0.138	0.192	0.578	0	-0.156	0.001
3930	LBR	2.8	-0.616	4.31e-05	0.345	0	-0.26	0
4221	MEN1	2.8	0.717	5.05e-20	0.498	0	-0.046	0.32
9643	MORF4L2	2.8	-0.416	1.14e-05	0.132	0.002	-0.187	0
8031	NCOA4	2.8	-0.491	1.61e-05	0.309	0	-0.224	0
51533	PHF7	2.8	0.247	0.185	0.36	0	-0.146	0.002
6604	SMARCD3	2.8	-1.211	1.94e-07	0.145	0.001	-0.263	0
1787	TRDMT1	2.8	-0.278	0.0946	0.377	0	-0.54	0
8458	TTF2	2.8	1.258	2.45e-17	0.323	0	-0.187	0
326	AIRE	2.8	NA	NA	NA	NA	NA	NA
9575	CLOCK	2.8	0.013	0.942	0.229	0	-0.099	0.033
55140	ELP3	2.8	0.762	0.000386	0.528	0	-0.181	0
2145	EZH1	2.8	-1.681	2.58e-57	0.437	0	-0.195	0
54815	GATAD2A	2.8	0.657	4.9e-14	0.591	0	-0.295	0
79831	KDM8	2.8	-0.454	5.55e-06	0.412	0	-0.186	0
4000	LMNA	2.8	-0.634	3.3e-06	0.196	0	-0.245	0
8930	MBD4	2.8	0.037	0.755	0.443	0	-0.211	0
84864	RIOX2	2.8	-0.406	0.00112	0.284	0	-0.315	0
4302	MLLT6	2.8	-0.604	1.65e-08	0.531	0	-0.214	0
57727	NCOA5	2.8	-0.023	0.782	0.425	0	-0.128	0.006
57649	PHF12	2.8	-0.083	0.342	0.603	0	-0.043	0.357
63977	PRDM15	2.8	0.497	1.29e-06	0.307	0	-0.204	0
10196	PRMT3	2.8	-0.107	0.415	0.315	0	-0.239	0
22955	SCMH1	2.8	-0.456	4.24e-06	0.167	0	-0.042	0.366
6418	SET	2.8	0.246	0.01	0.383	0	-0.074	0.111
54093	SETD4	2.8	0.21	0.0107	0.404	0	-0.137	0.003
80854	SETD7	2.8	-2.455	3.88e-33	0.161	0	-0.092	0.047
6602	SMARCD1	2.8	0.586	3.07e-14	0.391	0	-0.019	0.681
3431	SP110	2.8	0.096	0.576	0.091	0.034	-0.094	0.042
93349	SP140L	2.8	-0.506	0.0312	0.033	0.443	-0.755	0
9513	FXR2	2.4	-0.13	0.202	0.544	0	-0.34	0
51564	HDAC7	2.4	-0.283	0.00866	0.394	0	-0.256	0
55818	KDM3A	2.4	0.118	0.303	0.28	0	-0.34	0
23135	KDM6B	2.4	0.013	0.917	0.533	0	-0.241	0
80853	KDM7A	2.4	0.152	0.384	0.352	0	-0.168	0
26147	PHF19	2.4	-0.849	1.87e-08	0.122	0.005	-0.3	0
59336	PRDM13	2.4	2.224	7.26e-09	0.105	0.014	-0.23	0
11108	PRDM4	2.4	-0.107	0.175	0.331	0	-0.069	0.136
29128	UHRF1	2.4	4.819	4.4e-88	0.263	0	-0.417	0
86	ACTL6A	2.4	0.567	1.71e-06	0.592	0	-0.343	0
8165	AKAP1	2.4	0.028	0.834	0.42	0	-0.26	0
221120	ALKBH3	2.4	-1.269	1.3e-05	0.116	0.007	-0.709	0
1386	ATF2	2.4	-0.465	0.00455	0.159	0	-0.081	0.079
6314	ATXN7	2.4	-0.353	0.00102	0.371	0	-0.192	0
26122	EPC2	2.4	-0.756	3.34e-13	0.343	0	-0.164	0
6927	HNF1A	2.4	1.457	1.36e-05	0.22	0	-0.793	0
79960	JADE1	2.4	-0.345	0.00147	0.242	0	-0.196	0
55693	KDM4D	2.4	0.079	0.618	0.204	0	-0.252	0
390245	KDM4E	2.4	NA	NA	NA	NA	NA	NA
84456	L3MBTL3	2.4	-0.996	3.81e-08	0.1	0.021	-0.365	0
10943	MSL3	2.4	0.368	2.04e-05	0.171	0	-0.345	0
9112	MTA1	2.4	0.288	0.00299	0.488	0	-0.138	0.003
84939	MUM1	2.4	-1.214	5.28e-16	0.459	0	-0.155	0.001
148479	PHF13	2.4	-0.374	4.39e-05	0.456	0	-0.157	0.001
51317	PHF21A	2.4	-0.693	2.69e-16	0.353	0	-0.209	0
8438	RAD54L	2.4	4.258	9.86e-85	0.348	0	-0.145	0.002
5929	RBBP5	2.4	-0.021	0.896	0.4	0	-0.259	0
6598	SMARCB1	2.4	0.439	3.09e-06	0.417	0	-0.021	0.65
150572	SMYD1	2.4	NA	NA	NA	NA	NA	NA
64754	SMYD3	2.4	0.943	1.16e-14	0.464	0	-0.283	0
55148	UBR7	2.4	-0.141	0.13	0.405	0	-0.129	0.005
9205	ZMYM5	2.4	-0.364	0.00241	0.352	0	-0.146	0.002
112885	PHF21B	2.4	-3.333	3.63e-13	0.004	0.921	-0.262	0
84444	DOT1L	2	0.793	1.39e-11	0.485	0	-0.317	0
92292	GLYATL1	2	1.241	0.00757	0.026	0.548	0.447	0
84148	KAT8	2	-0.282	0.0086	0.491	0	-0.179	0
23030	KDM4B	2	0.207	0.103	0.559	0	-0.4	0
4204	MECP2	2	-1.095	1.67e-44	0.345	0	-0.301	0
6419	SETMAR	2	-0.637	1.44e-10	0.4	0	-0.212	0
6605	SMARCE1	2	-0.23	0.0214	0.602	0	-0.214	0
10322	SMYD5	2	0.092	0.273	0.475	0	-0.262	0
58	ACTA1	2	0.197	0.499	0.205	0	-0.117	0.012
339	APOBEC1	2	NA	NA	NA	NA	NA	NA
65980	BRD9	2	0.22	0.0133	0.557	0	-0.178	0
10498	CARM1	2	0.716	4.33e-13	0.567	0	-0.118	0.011
57332	CBX8	2	1.223	4.16e-21	0.306	0	-0.062	0.181
9425	CDYL	2	-0.207	0.0591	0.487	0	-0.177	0
79068	FTO	2	-0.852	1.15e-16	0.609	0	-0.404	0
8520	HAT1	2	0.135	0.326	0.164	0	-0.189	0
79885	HDAC11	2	-0.077	0.663	0.406	0	-0.396	0
54556	ING3	2	-0.763	5.36e-11	0.309	0	-0.164	0
23210	JMJD6	2	0.029	0.799	0.347	0	-0.175	0
8932	MBD2	2	0.415	0.000169	0.382	0	-0.236	0
57504	MTA3	2	0.288	0.000907	0.431	0	-0.297	0
51131	PHF11	2	-0.076	0.557	0.243	0	-0.284	0
79142	PHF23	2	0.517	4.47e-10	0.572	0	-0.199	0
55170	PRMT6	2	-0.032	0.845	0.269	0	-0.269	0
23168	RTF1	2	-0.252	0.00374	0.453	0	0.065	0.164
22933	SIRT2	2	-0.478	1.02e-06	0.459	0	0.164	0
23408	SIRT5	2	-0.036	0.748	0.495	0	-0.209	0
51547	SIRT7	2	1.075	1.25e-22	0.44	0	-0.361	0
56950	SMYD2	2	0.965	8.31e-12	0.395	0	-0.192	0
114826	SMYD4	2	-0.571	1.63e-10	0.591	0	-0.213	0
11022	TDRKH	2	1.586	1.96e-23	0.621	0	-0.395	0
10771	ZMYND11	2	-0.962	3.13e-21	0.488	0	-0.236	0
6839	SUV39H1	2	0.858	2.93e-11	0.25	0	-0.111	0.017
79913	ACTR5	1.6	0.195	0.065	0.452	0	-0.061	0.19
7917	BAG6	1.6	0.379	3.59e-08	0.484	0	-0.418	0
8535	CBX4	1.6	0.767	3.98e-12	0.217	0	-0.077	0.098
3065	HDAC1	1.6	0.417	1.77e-07	0.436	0	-0.067	0.148
3068	HDGF	1.6	1.135	6.19e-22	0.327	0	-0.109	0.018
83444	INO80B	1.6	0.422	0.00574	0.292	0	-0.177	0
84823	LMNB2	1.6	1.176	6.21e-19	0.142	0.001	-0.062	0.179
23411	SIRT1	1.6	-1.064	4.44e-15	0.311	0	-0.173	0
51412	ACTL6B	1.6	NA	NA	NA	NA	NA	NA
57379	AICDA	1.6	NA	NA	NA	NA	NA	NA
6046	BRD2	1.6	-0.173	0.0407	0.384	0	-0.187	0
10951	CBX1	1.6	-0.211	0.1	0.395	0	-0.186	0
11335	CBX3	1.6	0.468	0.000294	0.355	0	-0.039	0.403
23468	CBX5	1.6	0.174	0.162	0.225	0	-0.285	0
84656	GLYR1	1.6	-0.011	0.919	0.449	0	-0.141	0.002
84717	HDGFL2	1.6	-0.013	0.918	0.253	0	NA	NA
3417	IDH1	1.6	1.544	1.5e-19	0.126	0.003	-0.139	0.003
3418	IDH2	1.6	2.08	1.14e-36	0.377	0	-0.125	0.007
3622	ING2	1.6	0.319	0.00342	0.31	0	-0.126	0.007
57117	INTS12	1.6	-0.061	0.462	0.401	0	-0.185	0
23028	KDM1A	1.6	0.742	2.39e-15	0.472	0	-0.229	0
4001	LMNB1	1.6	2.811	5.42e-53	0.087	0.043	-0.098	0.035
55257	MRGBP	1.6	0.622	1.42e-07	0.631	0	-0.315	0
9219	MTA2	1.6	0.697	5.44e-17	0.399	0	-0.078	0.095
57223	PPP4R3B	1.6	-0.075	0.539	0.259	0	-0.102	0.029
56981	PRDM11	1.6	-1.46	1.38e-12	0.21	0	0.027	0.568
54496	PRMT7	1.6	0.335	0.00205	0.476	0	-0.277	0
56341	PRMT8	1.6	-0.278	0.562	0.138	0.001	-0.238	0
90780	PYGO2	1.6	0.471	1.3e-07	0.695	0	-0.211	0
5928	RBBP4	1.6	-0.039	0.806	0.265	0	-0.157	0.001
84193	SETD3	1.6	-0.49	4.93e-09	0.404	0	-0.054	0.246
112869	SGF29	1.6	-0.655	1.39e-07	0.261	0	-0.163	0
23410	SIRT3	1.6	0.168	0.0818	0.372	0	-0.228	0
6603	SMARCD2	1.6	0.621	1.22e-09	0.413	0	-0.166	0
8805	TRIM24	1.6	0.434	3.51e-05	0.405	0	-0.125	0.007
11091	WDR5	1.6	0.123	0.209	0.239	0	-0.078	0.094
55063	ZCWPW1	1.6	-1.14	1.14e-11	0.255	0	-0.115	0.013
84619	ZGPAT	1.6	0.382	0.00146	0.537	0	-0.232	0
79723	SUV39H2	1.6	1.038	1.75e-15	0.285	0	-0.215	0
648	BMI1	1.2	-0.402	0.00898	0.253	0	-0.442	0
29947	DNMT3L	1.2	NA	NA	NA	NA	NA	NA
3066	HDAC2	1.2	0.42	0.000232	0.212	0	-0.143	0.002
10856	RUVBL2	1.2	1.072	2.14e-15	0.315	0	-0.11	0.018
60	ACTB	1.2	-0.004	0.976	0.21	0	-0.274	0
93973	ACTR8	1.2	0.294	0.000347	0.526	0	-0.066	0.157
121536	AEBP2	1.2	-0.86	8.21e-16	0.385	0	-0.109	0.019
23466	CBX6	1.2	-2.01	1.1e-18	0.167	0	-0.164	0
2140	EYA3	1.2	0.357	0.0682	0.19	0	-0.135	0.003
154150	HDGFL1	1.2	NA	NA	NA	NA	NA	NA
51147	ING4	1.2	-0.218	0.0488	0.464	0	-0.251	0
10933	MORF4L1	1.2	-0.82	3.01e-15	0.285	0	-0.091	0.05
5111	PCNA	1.2	1.342	7.67e-23	0.354	0	-0.185	0
1911	PHC1	1.2	-0.345	0.0143	0.305	0	-0.381	0
55274	PHF10	1.2	-0.474	2.64e-06	0.376	0	-0.238	0
54107	POLE3	1.2	0.33	0.00115	0.395	0	-0.215	0
6015	RING1	1.2	-0.348	0.000615	0.381	0	-0.169	0
79918	SETD6	1.2	0.365	4.48e-05	0.466	0	-0.246	0
387893	KMT5A	1.2	0.086	0.314	0.452	0	-0.206	0
133383	SETD9	1.2	0.377	0.0357	0.313	0	-0.296	0
79823	CAMKMT	1.2	1.256	1.63e-26	0.301	0	-0.132	0.004
8846	ALKBH1	0.8	-0.107	0.164	0.505	0	-0.256	0
1843	DUSP1	0.8	-3.252	6.51e-42	0.157	0	-0.072	0.119
10919	EHMT2	0.8	0.473	6.37e-06	0.437	0	-0.22	0
84108	PCGF6	0.8	-0.159	0.248	0.415	0	-0.163	0
5252	PHF1	0.8	-1.218	9.15e-30	0.307	0	-0.252	0
170394	PWWP2B	0.8	0.638	1.95e-06	0.412	0	-0.237	0
6045	RNF2	0.8	0.117	0.292	0.459	0	-0.182	0
