Hybridization REF,ACVR2A|92,ADNP2|22850,AFF1|4299,BCOR|54880,BLNK|29760,BTBD11|121551,CNTLN|54875,CSNK1G1|53944,CTCF|10664,CTNNA2|1496,DOCK3|1795,DONSON|29980,DRD5|1816,ESF1|51575,ESRP1|54845,G3BP1|10146,GPAT2|150763,HAS2|3037,JAK1|3716,KCNA4|3739,KCNH7|90134,KRAS|3845,MAGI1|9223,MESDC1|59274,MUM1L1|139221,NCOA3|8202,PAPD5|64282,PCDH9|5101,PIK3CA|5290,POF1B|79983,PTEN|5728,RNF43|54894,RPL22|6146,SIKE1|80143,SOX17|64321,ZBTB20|26137,ZMIZ1|57178,ZNF609|23060,ZNF626|199777,Class
TCGA-AJ-A3BF-01A-11R-A213-07,412.5970,610.6235,903.9033,975.0925,78.7093,182.4852,44.6186,362.9650,2130.1636,190.5065,27.5733,251.9098,0.0000,475.2636,2116.1263,4801.7667,5.5147,6.5173,1575.1880,0.0000,5.0133,20046.7994,256.6825,377.0024,48.6293,792.6073,363.4664,17.5467,372.9917,7.0187,986.1219,970.0792,8560.7609,1005.1725,1382.6762,3.5093,2918.2589,699.3594,11.0293,0
TCGA-AJ-A3BG-01A-11R-A19W-07,313.3593,526.4436,819.4345,717.5928,367.6749,428.2577,94.0078,453.8487,1237.2469,1.0445,10.4453,131.6109,1.0445,193.7605,179.1371,2424.8786,5.7449,1.5668,1639.3914,0.0000,0.5223,580.7592,483.0956,345.7397,3.1336,766.6857,292.9909,8.8785,179.1371,411.0229,367.1526,237.6308,6457.8127,472.6503,1347.9672,17.7570,1397.5824,666.4108,1.0445,1
TCGA-AJ-A3BH-01A-11R-A19W-07,380.4528,826.0629,2478.1888,513.5284,255.6599,7.1784,101.6013,664.8261,1223.6334,2.2087,27.6091,180.0166,1.1044,313.0867,3066.8139,3086.1403,2.2087,50.8007,7471.0105,1.1044,1.6565,1128.1060,629.4865,481.5019,101.0491,1895.6378,526.2286,0.5522,427.3882,205.9636,1546.1071,398.1226,6452.2363,803.9757,423.5229,11.0436,2112.0928,1316.3998,174.4892,2
TCGA-AJ-A3BI-01A-11R-A213-07,240.5630,163.1478,350.6078,214.9712,71.0173,683.3013,41.5867,534.8688,531.6699,477.2873,4.4786,132.4376,7.6775,73.5765,1662.1881,796.5451,55.0224,7.0377,927.0633,0.0000,0.0000,369.1619,202.1753,284.7089,0.0000,440.8189,437.6200,0.0000,57.5816,22.3928,1416.5067,184.9008,19680.1024,285.3487,14166.3468,1.2796,275.1120,345.4894,465.7710,2
TCGA-AJ-A3BK-01A-11R-A19W-07,204.2481,364.9940,395.2333,550.1436,344.8344,44.5632,89.1264,411.1488,1352.2815,1011.1607,16.4460,208.5453,0.0000,203.1871,1767.1439,2154.4195,16.4460,9.5493,1214.3478,0.0000,0.0000,503.9888,245.0977,559.1623,1.0610,412.2098,368.7076,0.0000,95.4926,13.2629,855.1894,867.9218,11964.1637,520.4348,13073.4696,5.3051,1005.3250,601.6035,10.6103,1
TCGA-AJ-A3EJ-01A-11R-A19W-07,424.6731,703.8090,1263.7862,2295.0540,60.8300,237.6350,209.2098,531.5520,1488.3457,80.7277,60.8300,232.5355,0.0000,441.1597,3713.4736,2040.3638,18.7607,93.7578,4339.3974,0.5685,0.0000,1026.1512,615.6907,408.7550,154.6333,1632.7459,778.8516,97.2143,353.6100,1.7055,2091.5293,704.3775,8227.9704,1208.6413,7349.0620,10.2331,4012.5071,670.2672,14.2126,0
TCGA-AJ-A3EK-01A-11R-A19W-07,221.0691,902.4174,2687.8454,1406.1511,429.4815,31.2197,178.0365,792.3048,1715.3947,5.0627,7.5940,401.7129,0.0000,326.1191,2736.3625,3138.4213,14.3442,23.6257,2205.2061,0.0000,0.0000,1384.2130,910.4333,477.9986,22.7819,1531.4517,979.2009,0.4219,360.7138,51.4703,1231.4897,353.9636,6553.6008,783.0232,1080.4540,8.4378,1643.2519,840.8218,16.8755,1
TCGA-AJ-A3EL-01A-11R-A213-07,295.8785,711.4967,1049.8915,1034.7072,175.2711,220.8243,237.3102,653.3623,1302.8200,304.5553,12.5813,533.6226,0.0000,275.0542,1985.2495,2390.4555,17.3536,7.8091,2081.1280,0.0000,0.0000,1022.9935,289.8048,793.9262,182.6464,654.6638,264.2082,3.0369,173.1020,0.0000,1477.6573,1668.9805,7242.9501,1101.0846,7408.6768,6.0738,1545.3362,768.3297,14.3167,2
TCGA-AJ-A3EM-01A-11R-A213-07,765.5356,940.5261,447.1979,1266.8700,5.7186,51.0865,433.0919,610.7549,1373.9992,333.9687,5.7186,1040.4727,0.0000,500.9531,4441.8605,2093.0233,3.8124,13.7247,2940.9074,0.7625,0.0000,693.8620,282.1197,633.2444,37.7430,1090.3546,776.9729,27.8307,392.2989,0.7625,468.1662,344.6435,8869.2337,546.7022,4745.7110,0.7625,1002.6687,778.8791,9.1498,2
TCGA-AJ-A3I9-01A-11R-A22K-07,354.6975,564.8885,1193.4713,730.0955,169.5860,195.4618,177.5478,982.4841,1426.3535,419.5860,9.1561,287.4881,0.3981,476.9108,4197.0541,3169.1879,7.1656,2.7866,1702.2293,0.0000,0.0000,1084.3949,419.9841,425.5573,5.9713,773.8854,943.4713,25.4777,250.0000,11.5446,2212.1815,255.9713,15759.1561,667.5955,10019.9045,2.3885,1446.2580,1068.4713,1000.0000,2
TCGA-AJ-A3IA-01A-11R-A213-07,205.1680,325.4508,4400.6310,1121.3791,335.0734,34.3665,151.5563,334.7298,1449.5792,4.4676,523.7455,582.9556,1.7183,477.0071,3755.9153,3214.9865,614.4731,34.6449,3954.8974,0.0000,0.6873,1563.3323,481.1311,1327.5781,170.1142,2252.7244,596.6025,0.6873,381.1245,14.4339,656.4002,468.4155,7544.4788,822.0468,870.5036,7.9043,2181.5857,658.4622,32.9918,0
TCGA-AJ-A3NF-01A-11R-A22K-07,412.7882,631.1820,1343.9616,1255.1641,255.4213,48.6843,295.1916,416.5595,1575.3836,363.4182,22.2851,237.4835,2.0571,501.5857,1513.6710,2405.0741,14.0567,45.5541,4039.4274,4.1142,0.0000,1008.9997,374.3893,546.8415,291.4202,1234.9361,408.6740,13.3710,412.1025,225.5936,2100.6257,478.9577,8842.3759,800.8914,3007.1141,6.5141,3474.7579,955.8584,118.2823,0
TCGA-AJ-A3NG-01A-11R-A22K-07,468.1419,1100.1335,2137.4205,1906.2353,446.0174,212.9084,372.2690,994.3206,2105.6766,16077.7885,12.1845,331.1174,0.3206,625.5787,5020.6616,3711.1468,4.1684,565.4160,2559.3895,1.9239,1.2826,1226.7883,993.0380,573.9548,53.2271,1576.6121,659.8877,14.4290,356.8780,81.7645,1386.1489,614.9974,7680.7336,827.9057,4031.7920,7.3748,2928.1314,2456.7830,51.9445,2
TCGA-AJ-A3OJ-01A-11R-A22K-07,427.2578,759.2896,2371.0795,1261.1160,669.6057,50.8880,315.9088,691.2709,1705.5045,4.5346,15.6191,235.4957,0.0000,401.5619,2488.4746,2981.2319,5.5423,11.4977,2485.9554,0.5038,0.0000,1269.6813,518.9570,502.3303,350.1700,2307.0916,817.2314,0.0000,271.5707,25.1921,1120.0403,304.8243,11142.9651,732.5860,2537.8511,4.5346,1577.0248,856.5310,167.7793,2
TCGA-AJ-A3OK-01A-12R-A22K-07,407.3676,332.8886,1835.4209,526.5339,306.3352,389.2336,286.9059,503.8664,1116.5369,122.4046,17.4864,96.7061,0.0000,351.0226,1141.1474,1234.4080,21.3722,24.4226,2895.6129,5.1811,0.0000,784.9436,711.1123,628.8616,113.3376,1103.5841,904.1099,5.1811,249.9903,25.9057,2942.2432,344.5462,9007.4220,546.6109,4198.0234,4.5335,2955.8437,1226.6363,470.1890,0
TCGA-AJ-A3OL-01A-11R-A22K-07,394.3940,521.9108,2240.4264,942.3608,827.0825,133.4386,600.8685,727.2009,1885.5113,58.0340,12.6332,659.7118,0.0000,469.7987,3369.5223,2395.9732,5.1323,19.5618,2426.7667,0.3948,2.3687,949.0722,580.7343,654.1650,11.8437,806.5535,531.7805,74.2203,276.7469,73.4307,865.7718,774.9704,7709.0407,970.7856,7892.6174,8.2906,1914.7256,1075.7994,641.5318,1
TCGA-AJ-A3QS-01A-11R-A22K-07,246.4058,962.0607,2063.4984,950.0799,456.0703,21.9649,212.8594,620.2077,1831.8690,2140.9744,69.8882,277.6358,0.3994,464.4569,3950.0799,2761.1821,3.1949,5.1917,2545.5272,1.9968,0.7987,1182.9073,833.8658,424.9201,29.1534,1371.0064,676.9169,13.9776,565.8946,364.2173,1616.6134,543.1310,6267.5719,1206.0703,4100.2396,17.9712,2172.9233,931.7093,29.1534,0
TCGA-AJ-A3TW-01A-11R-A22K-07,266.5520,518.4867,1335.3396,244.1960,137.1453,40.4127,176.2683,559.7592,1043.8521,1.7197,12.0378,256.0834,0.0000,503.4394,2387.3603,2472.4850,16.3371,1.7197,1499.1402,0.0000,6.0189,1091.1436,276.0103,646.1737,3.8693,3585.1247,334.4798,25.7954,1003.0095,2.5795,1185.7266,408.8564,10028.3749,928.2029,1714.1015,0.0000,797.9364,632.4162,605.7610,0
TCGA-AJ-A5DV-01A-11R-A27V-07,168.9441,615.2456,1164.0881,1322.1909,594.4664,265.1609,246.1886,1034.4438,1266.1773,1525.9176,4.9689,257.2784,0.0000,399.7741,2230.1525,2850.8187,4.9689,1.3552,2450.5929,0.0000,0.4517,946.8097,842.0102,608.9215,4.5172,1294.1841,680.7453,0.0000,222.6990,14.0034,1490.2315,1076.4540,9056.1265,699.2660,10198.9836,6.3241,2085.6014,1378.2044,7.6793,1
TCGA-AJ-A5DW-01A-11R-A27V-07,188.2549,1229.9042,2498.9588,1716.7847,94.1274,272.8030,423.1570,1229.0712,2417.7426,2780.9246,50.8122,505.5394,0.0000,571.4286,2377.7593,3435.2353,2.0825,118.3798,3378.5923,0.0000,0.0000,1930.8621,1913.3694,417.7426,29.9875,1216.1599,759.2670,9.5793,340.2749,0.8330,1783.0071,922.9488,9002.4990,1364.8480,9625.1562,12.9113,2152.8530,2553.9359,18.7422,2
TCGA-AP-A5FX-01A-11R-A27V-07,412.0083,766.7357,911.6632,759.8344,264.3202,343.6853,790.8903,469.2892,1154.5894,202.8986,522.4293,210.3727,0.0000,302.2774,3398.2057,2046.9289,20.7039,21.8150,2213.9406,1.3803,0.6901,667.3568,336.0939,663.2160,1.3803,926.8461,703.9337,67.6329,156.6598,37.9572,261.5597,155.2795,8780.5383,954.4513,11364.3892,5.5210,1399.5859,1312.6294,249.1373,0
TCGA-AX-A1C7-01A-11R-A137-07,174.0386,576.2773,377.6855,229.6443,103.2677,111.2114,80.8810,237.5880,686.7666,808.0881,85.2139,110.5109,29.6082,74.3817,1123.6685,1578.6243,18.0538,0.0000,844.1957,0.0000,0.0000,340.8558,124.2101,371.1861,52.7171,384.9070,106.8785,3.6108,82.3253,39.7184,914.9666,1523.7407,28316.3026,457.1222,11578.2632,6.4994,1218.2704,667.2685,66.4380,0
TCGA-AX-A2H4-01A-21R-A18M-07,98.4308,758.9158,749.6434,465.0499,669.7575,24.2511,93.4379,464.3367,928.6733,0.0000,32.0970,273.5235,0.0000,446.5050,2872.3252,1610.5563,9.2725,38.4736,2691.1555,0.0000,0.0000,697.5749,445.7917,718.2596,15.6919,3921.5407,431.5264,0.7133,288.1598,0.0000,1109.8431,123.3951,17624.8217,475.7489,2346.6476,9.2725,1646.9330,566.3338,13.5521,2
TCGA-AX-A2HH-01A-11R-A32Y-07,774.5726,826.9231,978.2764,1509.2593,111.8234,809.1168,217.9487,648.8640,2048.4330,26.7094,29.2023,273.8746,0.0000,367.8775,2405.2707,2617.8775,2.8490,6.7664,6599.3590,0.3561,1.7806,1289.5299,1105.7692,488.6040,3.5613,842.9487,488.6040,49.1453,214.7436,280.2707,1623.5755,4639.9573,7170.5840,1141.3818,4566.5954,6.0541,4498.2194,1404.2023,2.4929,2
TCGA-AX-A2IN-01A-12R-A180-07,428.9403,570.7460,532.8724,824.4108,49.3237,71.3432,532.4320,426.2979,1962.3796,343.0641,33.0293,985.1842,0.0000,236.4896,1470.0232,1897.6423,72.6644,62.0642,1636.0504,8.8078,39.6351,645.1719,219.3144,1160.4287,43.1583,535.9551,222.8375,369.0472,210.5066,7.9270,1677.4471,18.4964,5176.3488,665.4299,256.7476,8.3674,2085.2486,939.3527,14.5329,2
TCGA-AX-A3FS-01A-11R-A22K-07,821.6197,781.3057,438.8156,315.3764,21.4056,599.0011,627.5419,894.3989,2073.8494,27.1138,24.9732,541.7196,7.8487,1022.4759,113.4499,4067.0710,103.4606,14.2704,2054.5844,4.6379,0.0000,1211.9158,210.1320,815.5548,14.6272,968.6051,414.9126,34.6058,449.5184,4.6379,2161.6126,72.4224,9928.2911,1830.8955,91.3307,2.1406,1826.2576,1030.3247,352.1227,1
TCGA-AX-A3FT-01A-11R-A22K-07,261.9601,612.1691,1176.0334,794.7051,195.5411,22.7589,306.0845,463.5392,1051.0915,0.0000,29.2615,378.2815,0.0000,542.9633,2606.5954,2088.7134,10.6828,13.4696,2740.8268,0.0000,0.4645,734.3242,222.4803,814.2127,2.3223,1201.1147,388.2954,6.0381,295.4018,13.4696,1541.5699,178.8203,6882.9540,739.4333,724.5704,6.5026,1419.4148,696.2378,244.3103,2
TCGA-AX-A3FV-01A-11R-A22K-07,34.9475,442.7921,932.0569,997.4905,0.7436,2158.1931,445.3946,677.3864,1260.7120,329.3986,14.1277,1324.6212,0.0000,534.9940,3690.6776,4071.0103,4.0896,26.9579,1967.0973,0.0000,1.1153,1722.4649,371.4100,309.6942,112.2781,2696.5331,445.7663,0.7436,301.8868,851.0085,74.7281,298.5408,13907.2404,1130.2166,21.5633,23.4223,6199.4609,862.1619,458.4069,0
TCGA-AX-A3FW-01A-11R-A22K-07,322.3335,813.1998,1776.0754,1314.0837,604.5963,161.4614,335.2976,1034.1780,1202.1214,234.5315,13.5533,526.4054,0.0000,673.5415,3067.7666,3114.3194,5.8928,4.7142,1925.1621,0.0000,2.9464,981.1432,329.9941,686.5056,0.5893,1199.7643,945.7867,7.6606,424.8674,2.3571,1431.3494,420.1532,21498.5268,929.8763,14281.6735,4.7142,2652.3276,1156.7472,80.1414,2
TCGA-AX-A3FX-01A-11R-A22K-07,202.2621,419.8270,1196.9395,1446.4405,139.7206,83.1670,110.4458,622.0892,950.7651,242.8476,45.9082,346.4538,0.6653,389.2216,2294.7438,1248.1703,62.5416,17.2987,1581.5037,2.6613,0.6653,662.0093,530.9381,814.3713,31.2708,996.6733,502.9940,46.5735,319.3613,1.9960,2440.4524,175.6487,6475.7152,823.6860,11389.2216,4.6574,2058.5496,785.0965,984.0319,2
TCGA-AX-A3FZ-01A-11R-A22K-07,160.6492,508.4465,518.7148,993.0441,4.6373,726.3995,449.8178,270.9506,1290.4935,660.8148,7.9497,906.6545,0.0000,1067.5720,0.9937,1879.4303,5.9622,46.5916,1799.6025,0.0000,0.6625,2811.8582,125.8695,2003.9748,1.3249,602.8486,171.5800,174.5611,333.5542,0.0000,1273.2693,1253.7264,6242.4644,1077.8403,12.2557,0.9937,3382.2458,1065.2534,2.6499,2
TCGA-AX-A3G1-01A-11R-A22K-07,244.9585,473.3096,1251.4828,1106.7616,218.2681,150.6524,511.2693,1021.9454,1314.3535,172.0047,13.6418,695.8897,0.0000,250.2966,3579.4781,3365.9549,47.4496,14.8280,1993.4757,0.5931,1.1862,1270.4626,583.0368,537.9597,7.7106,1288.2562,457.2954,59.3120,653.6180,62.2776,226.5718,457.2954,6182.0878,1177.9359,10972.7165,2.3725,1512.4555,1587.7817,344.0095,0
TCGA-AX-A3G4-01A-11R-A213-07,569.9068,267.3768,739.2810,643.4088,80.9587,75.0999,88.4154,534.7537,1023.7017,738.2157,35.6858,253.3156,0.0000,210.3862,1833.2889,2084.6871,39.9467,18.1092,2838.3489,5.8589,0.0000,623.7017,892.6764,780.2929,156.5912,779.7603,504.3941,36.7510,343.5419,116.6445,1170.1731,175.7656,7952.0639,860.7190,6454.8602,3.7284,2558.7217,1027.9627,838.8815,0
TCGA-AX-A3G6-01A-11R-A213-07,947.4896,362.9664,632.4275,805.6195,300.7830,46.5223,157.9917,485.9512,1220.6357,331.6444,7.8305,286.8310,0.9212,370.3363,2236.7573,1416.3980,9.2123,24.8088,1817.5956,0.0000,0.0000,859.9724,518.6550,1173.6527,1.8425,1227.0843,181.4832,11.0548,455.0898,318.2865,840.1658,192.0774,7574.8503,772.9157,5620.9120,1.8425,846.6145,681.7135,367.5725,0
TCGA-AX-A3G7-01A-12R-A213-07,360.9898,277.2926,1522.5619,585.8806,255.4585,12.3726,185.5895,570.5968,834.7889,141.1936,38.5735,142.6492,0.0000,413.3916,2532.0233,1725.6186,21.1063,0.7278,2221.2518,0.0000,0.0000,1247.4527,229.9854,547.3071,95.3421,880.6405,163.0277,6.5502,168.1223,88.0640,1606.9869,801.3100,10046.5793,806.4047,3727.0742,10.1892,2556.7686,1133.9156,153.5662,0
TCGA-AX-A3G8-01A-11R-A22K-07,331.3293,432.1977,727.4549,396.1256,273.2131,1503.6740,74.8163,621.2425,941.8838,83.5003,28.0561,234.8497,5.3440,144.9566,2551.1022,1939.2118,10.0200,2.0040,1293.2532,0.0000,0.0000,831.6633,268.5371,338.6774,49.4322,943.8878,732.1309,23.3801,120.9085,53.4402,1088.8444,214.4289,11283.2331,802.9392,13289.9132,4.0080,694.0548,476.2859,305.2772,1
TCGA-AX-A3G9-01A-11R-A22K-07,881.8109,384.9391,1415.9936,790.8088,299.3971,15.0154,214.3101,428.6202,1446.0243,28.6657,25.0256,286.5613,0.0000,487.3166,2559.8908,2658.1731,7.2802,6.3702,1536.1165,0.0000,0.0000,1024.6843,260.7212,858.1504,38.2209,1274.9403,569.2185,0.4550,250.7110,757.5930,2310.0899,384.0291,12798.9990,856.7853,8467.7511,4.0951,1249.4597,723.4672,6.3702,1
TCGA-AX-A3GB-01A-11R-A22K-07,316.1130,283.0314,1776.6043,983.2586,311.8247,224.2197,205.2284,629.7756,1025.5295,675.1096,38.5952,192.4491,0.0000,229.7333,1671.8459,1353.2824,26.9554,17.9988,2098.2309,0.0000,0.0000,610.1717,565.4503,714.9301,53.2981,725.3446,468.6560,3.0631,88.8302,38.5952,1516.2398,1351.4445,10896.0977,536.0444,9089.4750,11.6398,1308.5609,1176.8472,69.2263,1
TCGA-AX-A3GI-01A-11R-A213-07,194.6216,949.0932,1765.1032,2411.0069,131.0819,4.5028,262.1639,635.8974,1466.9168,80.5503,7.5047,423.9250,1.5009,797.9987,1585.4909,4367.7298,1.0006,1.0006,2197.8737,0.5003,0.0000,1040.6504,403.7523,526.8293,0.0000,1870.1689,213.6335,2.0013,688.9306,19.5122,967.6048,750.9694,9676.5478,1262.2889,4762.4765,6.0038,1887.6798,917.5735,4.5028,0
TCGA-B5-A11R-01A-11R-A118-07,226.9566,609.7803,807.1531,853.5158,234.9045,207.0869,291.4229,892.8138,1080.4725,1333.0390,9.2725,194.7500,0.4415,382.3822,3034.7720,3155.3152,3.0908,37.9733,2058.9469,0.4415,0.0000,1323.3249,735.1805,784.1925,5.7401,667.1818,331.6039,26.9345,608.8972,4.8570,6292.0852,266.2546,10539.7947,716.6354,9315.8185,6.1817,4326.3053,1375.4278,2.2077,1
TCGA-B5-A1MS-01B-11R-A22K-07,573.6732,983.2402,1783.5196,1720.6704,128.4916,133.0307,128.8408,699.7207,1461.9413,156.7737,123.2542,264.6369,15.7123,1435.0559,2359.9860,4188.5475,611.0335,12.9190,2199.0223,1.7458,0.3492,667.5978,487.4302,346.3687,82.0531,2019.9022,766.0615,107.5419,592.8771,142.1089,1316.6899,522.3464,8882.6816,961.2430,2533.1704,8.3799,3024.4413,1143.1564,232.1927,0
TCGA-B5-A1MW-01A-11R-A32Y-07,339.1685,1757.1116,1524.4347,1467.1772,86.4333,147.3377,74.7629,866.8891,1325.6747,152.4435,7.6586,285.8388,0.0000,324.5806,3947.8483,4379.6499,4.0117,22.6112,1766.2290,0.3647,0.0000,830.0511,778.2640,484.6827,1.4588,878.1911,468.2713,0.7294,215.1714,11.6703,916.1196,1176.1488,6739.2414,890.2261,9057.2575,1.0941,2420.4960,1985.0474,75.1276,1
TCGA-B5-A3F9-01A-21R-A22K-07,366.2749,520.8359,1368.6852,892.0806,189.8467,310.1160,619.7351,569.5400,1791.1190,1966.5532,3.9758,262.9724,0.0000,415.4760,2130.0599,2712.0245,16.4004,77.0320,1921.8249,0.9940,0.0000,925.8753,812.5637,753.9199,48.7041,748.9501,591.9042,31.3098,169.4705,2.9819,1470.5663,932.8330,16000.2982,896.5534,19603.9063,4.9698,2421.2907,1292.6472,606.8136,2
TCGA-B5-A3FA-01A-11R-A19W-07,379.1563,625.8065,1444.6650,972.2084,260.5459,183.1266,106.6998,492.3077,1130.0248,8.4367,10.9181,223.6923,0.0000,344.4169,2059.5533,3471.4640,2.4814,48.6352,4559.3052,0.0000,0.0000,853.5980,395.5335,510.6700,9.9256,735.4839,402.4814,15.8809,182.1340,0.0000,1808.4367,788.5856,4075.9305,687.8412,1903.2258,2.9777,1974.6898,1079.9007,5.9553,2
TCGA-B5-A3FB-01A-11R-A19W-07,430.8024,893.9149,693.5918,976.8444,173.9365,284.8681,153.4733,938.0722,1571.3516,298.8691,7.0005,219.7092,1.0770,452.8810,1980.0754,3332.2563,8.0775,1.6155,2177.1675,0.0000,0.5385,1208.4006,513.7318,343.5649,8.6160,722.6710,471.1901,76.4674,211.6317,87.2375,1660.2046,766.2897,13386.6451,695.2073,6911.1470,2.1540,2186.3220,1422.1863,222.4017,2
